bowler,balls,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,format,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary
JA Morkel,639,848,25,205,63,31,T20I,106.5,7.96,33.92,25.56,32.08,438,51.65,6.8
Shoaib Malik,549,649,25,168,34,24,T20I,91.5,7.09,25.96,21.96,30.6,280,43.14,9.47
Atif Mehmood,470,417,25,243,30,10,T20I,78.3,5.33,16.68,18.8,51.7,180,43.17,11.75
Sajid Liaqat,391,594,25,148,52,33,T20I,65.2,9.11,23.76,15.64,37.85,406,68.35,4.6
Muhammad Asim,485,576,25,187,39,22,T20I,80.8,7.13,23.04,19.4,38.56,288,50.0,7.95
Mohammed Nadeem,521,556,25,206,37,20,T20I,86.8,6.41,22.24,20.84,39.54,268,48.2,9.14
SE Bond,480,553,25,221,64,12,T20I,80.0,6.91,22.12,19.2,46.04,328,59.31,6.32
MWR Stokes,533,610,25,211,41,24,T20I,88.8,6.87,24.4,21.32,39.59,308,50.49,8.2
J Shaju,439,521,25,164,48,11,T20I,73.2,7.12,20.84,17.56,37.36,258,49.52,7.44
A Nao,487,484,25,228,34,18,T20I,81.2,5.96,19.36,19.48,46.82,244,50.41,9.37
Muhammad Jabir,521,709,25,164,59,23,T20I,86.8,8.17,28.36,20.84,31.48,374,52.75,6.35
Utkarsh Jain,462,435,25,223,28,18,T20I,77.0,5.65,17.4,18.48,48.27,220,50.57,10.04
E Otieno,470,564,25,200,61,13,T20I,78.3,7.2,22.56,18.8,42.55,322,57.09,6.35
Kushal Malla,410,419,25,160,23,17,T20I,68.3,6.13,16.76,16.4,39.02,194,46.3,10.25
SMSM Senanayake,493,562,25,199,38,22,T20I,82.2,6.84,22.48,19.72,40.37,284,50.53,8.22
Zaker Taqawi,275,300,25,115,20,10,T20I,45.8,6.55,12.0,11.0,41.82,140,46.67,9.17
Harbhajan Singh,601,626,25,227,26,17,T20I,100.2,6.25,25.04,24.04,37.77,206,32.91,13.98
Z Burgess,590,536,25,298,46,12,T20I,98.3,5.45,21.44,23.6,50.51,256,47.76,10.17
Raza Iqbal,451,430,25,192,12,16,T20I,75.2,5.72,17.2,18.04,42.57,144,33.49,16.11
CJPF Kalugamage,418,484,24,151,23,23,T20I,69.7,6.94,20.17,17.42,36.12,230,47.52,9.09
G Ngegba,408,361,24,202,19,11,T20I,68.0,5.31,15.04,17.0,49.51,142,39.34,13.6
KM Jarvis,381,557,24,134,53,19,T20I,63.5,8.77,23.21,15.88,35.17,326,58.53,5.29
KJ Abbott,433,557,24,166,56,14,T20I,72.2,7.71,23.21,18.04,38.34,308,55.3,6.19
Jakob Gul,357,437,24,124,27,18,T20I,59.5,7.34,18.21,14.88,34.73,216,49.43,7.93
MK Thakur,467,450,24,205,37,9,T20I,77.8,5.78,18.75,19.46,43.9,202,44.89,10.15
Raaz Mohammad,399,459,24,144,41,5,T20I,66.5,6.9,19.12,16.62,36.09,194,42.27,8.67
S Mahmood,426,638,24,145,57,31,T20I,71.0,8.99,26.58,17.75,34.04,414,64.89,4.84
Zaheer Zahiri,407,451,24,176,40,13,T20I,67.8,6.65,18.79,16.96,43.24,238,52.77,7.68
BTJ Wheal,504,728,24,195,70,29,T20I,84.0,8.67,30.33,21.0,38.69,454,62.36,5.09
XC Bartlett,422,559,24,163,56,17,T20I,70.3,7.95,23.29,17.58,38.63,326,58.32,5.78
N Tanner,354,430,24,136,38,13,T20I,59.0,7.29,17.92,14.75,38.42,230,53.49,6.94
Mohammed Shami,504,739,24,187,67,34,T20I,84.0,8.8,30.79,21.0,37.1,472,63.87,4.99
PK Matautaava,457,466,24,201,37,11,T20I,76.2,6.12,19.42,19.04,43.98,214,45.92,9.52
S Bau,435,461,24,187,39,14,T20I,72.5,6.36,19.21,18.12,42.99,240,52.06,8.21
Abbas Ghani,317,436,24,102,36,18,T20I,52.8,8.26,18.17,13.21,32.18,252,57.8,5.87
TT Bresnan,693,899,24,260,76,34,T20I,115.5,7.78,37.46,28.88,37.52,508,56.51,6.3
RJ Peterson,364,454,24,144,27,26,T20I,60.7,7.48,18.92,15.17,39.56,264,58.15,6.87
FA Allen,612,784,24,203,65,26,T20I,102.0,7.69,32.67,25.5,33.17,416,53.06,6.73
J Theron,385,492,24,130,47,12,T20I,64.2,7.66,20.5,16.04,33.77,260,52.85,6.53
Shoaib Rafiq,361,274,24,206,32,1,T20I,60.2,4.55,11.42,15.04,57.06,134,48.91,10.94
SM Nash,421,492,24,175,48,11,T20I,70.2,7.01,20.5,17.54,41.57,258,52.44,7.14
P Malav,446,562,24,151,36,22,T20I,74.3,7.56,23.42,18.58,33.86,276,49.11,7.69
NK Aneesh Kumar,604,684,24,258,35,36,T20I,100.7,6.79,28.5,25.17,42.72,356,52.05,8.51
N Dutta,473,507,24,172,29,17,T20I,78.8,6.43,21.12,19.71,36.36,218,43.0,10.28
LS Barkania,359,283,24,194,19,9,T20I,59.8,4.73,11.79,14.96,54.04,130,45.94,12.82
Naveed Ahmed,515,608,24,190,35,26,T20I,85.8,7.09,25.33,21.46,36.89,296,48.68,8.44
B Arora,634,779,24,234,65,23,T20I,105.7,7.37,32.46,26.42,36.91,398,51.09,7.2
C Karunaratne,720,948,24,200,72,26,T20I,120.0,7.9,39.5,30.0,27.78,444,46.84,7.35
KS Leverock,436,469,24,193,43,10,T20I,72.7,6.45,19.54,18.17,44.27,232,49.47,8.23
Jaspreet Singh,419,489,24,162,36,17,T20I,69.8,7.01,20.38,17.46,38.66,246,50.31,7.91
Mohammad Hasnain,622,868,24,217,93,26,T20I,103.7,8.37,36.17,25.92,34.89,528,60.83,5.23
Amar Sharma,658,863,24,221,55,34,T20I,109.7,7.87,35.96,27.42,33.59,424,49.13,7.39
LB Williams,409,634,24,129,65,24,T20I,68.2,9.3,26.42,17.04,31.54,404,63.72,4.6
PADLR Sandakan,484,568,23,151,33,19,T20I,80.7,7.04,24.7,21.04,31.2,246,43.31,9.31
H Carlyon,411,408,23,192,30,15,T20I,68.5,5.96,17.74,17.87,46.72,210,51.47,9.13
CB Roposo,370,433,23,173,35,19,T20I,61.7,7.02,18.83,16.09,46.76,254,58.66,6.85
Salman Mirza,362,379,23,177,37,13,T20I,60.3,6.29,16.48,15.74,48.9,226,59.63,7.24
IG Butler,366,500,23,132,43,19,T20I,61.0,8.2,21.74,15.91,36.07,286,57.2,5.9
