bowler,balls,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,format,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary
T Rossi,384,431,20,176,46,10,T20I,64.0,6.73,21.55,19.2,45.83,244,56.61,6.86
SI Kamea,406,483,20,167,43,16,T20I,67.7,7.13,24.15,20.3,41.13,268,55.49,6.88
G Stewart,450,512,20,179,42,15,T20I,75.0,6.83,25.6,22.5,39.78,258,50.39,7.89
Baseer Khan,367,419,20,158,42,10,T20I,61.2,6.85,20.95,18.35,43.05,228,54.42,7.06
Fayaz Khan,340,430,20,136,28,21,T20I,56.7,7.58,21.5,17.0,40.0,238,55.35,6.94
M Jele,382,493,20,142,43,10,T20I,63.7,7.74,24.65,19.1,37.17,232,47.06,7.21
Saud Munir,317,339,20,116,23,5,T20I,52.8,6.42,16.95,15.85,36.59,122,35.99,11.32
BA Carse,283,417,20,98,44,16,T20I,47.2,8.83,20.85,14.15,34.63,272,65.23,4.72
S Jegannathan,276,282,20,134,14,15,T20I,46.0,6.13,14.1,13.8,48.55,146,51.77,9.52
Anwar Rahman,331,333,20,141,24,10,T20I,55.2,6.03,16.65,16.55,42.6,156,46.85,9.74
A Reyes,314,413,20,115,30,19,T20I,52.3,7.9,20.65,15.7,36.62,234,56.66,6.41
K Fubler,273,206,20,145,7,5,T20I,45.5,4.53,10.3,13.65,53.11,58,28.16,22.75
Mohammad Khan Rafah,208,246,20,78,17,9,T20I,34.7,7.09,12.3,10.4,37.5,122,49.59,8.0
B Regmi,313,328,20,118,18,11,T20I,52.2,6.28,16.4,15.65,37.7,138,42.07,10.79
FH Edwards,481,629,20,188,60,19,T20I,80.2,7.84,31.45,24.05,39.09,354,56.28,6.09
Amir Farooq,383,496,20,147,50,14,T20I,63.8,7.77,24.8,19.15,38.38,284,57.26,5.98
DAJ Bracewell,321,480,20,115,47,22,T20I,53.5,8.97,24.0,16.05,35.83,320,66.67,4.65
AM Phangiso,348,447,20,125,27,24,T20I,58.0,7.71,22.35,17.4,35.92,252,56.38,6.82
NR Johns-Wickberg,351,365,19,175,25,19,T20I,58.5,6.24,19.21,18.47,49.86,214,58.63,7.98
DN Wellalage,364,446,19,134,27,21,T20I,60.7,7.35,23.47,19.16,36.81,234,52.47,7.58
Yasar Haroon,378,376,19,169,14,18,T20I,63.0,5.97,19.79,19.89,44.71,164,43.62,11.81
P Utseya,654,782,19,215,56,18,T20I,109.0,7.17,41.16,34.42,32.87,332,42.46,8.84
Akhil Anil,352,370,19,144,24,12,T20I,58.7,6.3,19.47,18.53,40.91,168,45.41,9.78
Thuya Aung,369,363,19,169,18,16,T20I,61.5,5.9,19.11,19.42,45.8,168,46.28,10.85
Tashi Phuntsho,266,221,19,153,17,7,T20I,44.3,4.99,11.63,14.0,57.52,110,49.77,11.08
S Sola,343,376,19,135,17,15,T20I,57.2,6.57,19.79,18.05,39.36,158,42.02,10.72
JDP Oram,565,814,19,167,78,23,T20I,94.2,8.64,42.84,29.74,29.56,450,55.28,5.59
JA Richardson,415,562,19,153,49,23,T20I,69.2,8.12,29.58,21.84,36.87,334,59.43,5.76
MC Sorensen,281,342,19,116,34,11,T20I,46.8,7.31,18.0,14.79,41.28,202,59.06,6.24
HER Tyler,372,538,19,121,52,14,T20I,62.0,8.68,28.32,19.58,32.53,292,54.28,5.64
E Mathew,360,469,19,130,43,15,T20I,60.0,7.82,24.68,18.95,36.11,262,55.86,6.21
Vishil Patel,300,329,19,135,24,11,T20I,50.0,6.58,17.32,15.79,45.0,162,49.24,8.57
E Karimi,304,334,19,127,19,15,T20I,50.7,6.59,17.58,16.0,41.78,166,49.7,8.94
M Sarenac,396,530,19,137,44,18,T20I,66.0,8.03,27.89,20.84,34.6,284,53.58,6.39
Zuhaib Zubair,326,412,19,117,30,16,T20I,54.3,7.59,21.68,17.16,35.89,216,52.43,7.09
DJ Hussey,370,406,19,119,18,12,T20I,61.7,6.58,21.37,19.47,32.16,144,35.47,12.33
GK Berg,301,326,19,142,30,11,T20I,50.2,6.49,17.16,15.84,47.18,186,57.06,7.34
Wahidullah Sahak,272,360,19,97,32,12,T20I,45.3,7.95,18.95,14.32,35.66,200,55.56,6.18
Azyan Farhath,229,226,19,105,19,5,T20I,38.2,5.92,11.89,12.05,45.85,106,46.9,9.54
F Stoman,380,393,19,170,31,11,T20I,63.3,6.21,20.68,20.0,44.74,190,48.35,9.05
Shafiul Islam,390,520,19,137,57,9,T20I,65.0,8.0,27.37,20.53,35.13,282,54.23,5.91
ST Jayasuriya,353,431,19,107,22,14,T20I,58.8,7.33,22.68,18.58,30.31,172,39.91,9.81
BM Tickner,360,541,19,114,49,23,T20I,60.0,9.02,28.47,18.95,31.67,334,61.74,5.0
L Wood,319,467,19,123,46,21,T20I,53.2,8.78,24.58,16.79,38.56,310,66.38,4.76
NW Bracken,392,453,19,161,41,13,T20I,65.3,6.94,23.84,20.63,41.07,242,53.42,7.26
IDM Latin,269,396,19,90,27,21,T20I,44.8,8.84,20.84,14.16,33.46,234,59.09,5.6
Luqman Butt,541,652,19,232,71,15,T20I,90.2,7.23,34.32,28.47,42.88,374,57.36,6.29
B Kgosiemang,424,525,19,186,58,12,T20I,70.7,7.43,27.63,22.32,43.87,304,57.9,6.06
GT Main,263,355,19,103,31,14,T20I,43.8,8.11,18.68,13.84,39.16,208,58.59,5.84
CO Obuya,326,339,19,134,23,9,T20I,54.3,6.24,17.84,17.16,41.1,146,43.07,10.19
B Masaba,368,338,19,155,19,8,T20I,61.3,5.51,17.79,19.37,42.12,124,36.69,13.63
ACF Stokes,326,320,19,152,21,12,T20I,54.3,5.89,16.84,17.16,46.63,156,48.75,9.88
Waji Ul Hassan,377,475,19,127,29,20,T20I,62.8,7.56,25.0,19.84,33.69,236,49.68,7.69
SJ Benn,491,614,19,173,44,21,T20I,81.8,7.51,32.32,25.84,35.23,302,49.19,7.55
R Nehonde,312,354,19,119,20,11,T20I,52.0,6.81,18.63,16.42,38.14,146,41.24,10.06
KS Bagabena,512,561,19,230,49,17,T20I,85.3,6.58,29.53,26.95,44.92,298,53.12,7.76
Muhammad Farooq,358,405,19,159,27,21,T20I,59.7,6.78,21.32,18.84,44.41,234,57.78,7.46
CJ Langford,320,327,19,152,34,7,T20I,53.3,6.14,17.21,16.84,47.5,178,54.43,7.8
DAM Louis,234,294,19,76,17,13,T20I,39.0,7.54,15.47,12.32,32.48,146,49.66,7.8
Haseeb Amjad,298,356,19,122,36,9,T20I,49.7,7.16,18.74,15.68,40.94,198,55.62,6.62
AR McBrine,334,393,19,113,11,22,T20I,55.7,7.06,20.68,17.58,33.83,176,44.78,10.12
LJ Wright,335,468,18,97,32,18,T20I,55.8,8.39,26.0,18.61,28.96,236,50.43,6.7
AA Gajic,303,388,18,118,22,23,T20I,50.5,7.68,21.56,16.83,38.94,226,58.25,6.73
DB Loic,372,340,18,177,23,7,T20I,62.0,5.48,18.89,20.67,47.58,134,39.41,12.4
DT Johnston,395,413,18,175,33,10,T20I,65.8,6.28,22.94,21.94,44.3,192,46.49,9.19
JP Behrendorff,329,454,18,135,40,21,T20I,54.8,8.28,25.22,18.28,41.03,286,63.0,5.39
Akif Raja,354,440,18,145,49,12,T20I,59.0,7.46,24.44,19.67,40.96,268,60.91,5.8
D Madushanka,395,597,18,139,58,24,T20I,65.8,9.07,33.17,21.94,35.19,376,62.98,4.82
CK Jasmat,515,559,18,216,51,11,T20I,85.8,6.52,31.06,28.61,41.94,270,48.3,8.31
SB Styris,313,358,18,105,25,11,T20I,52.2,6.86,19.89,17.39,33.55,166,46.37,8.69
L Erdenebulgan,280,430,18,77,37,12,T20I,46.7,9.21,23.89,15.56,27.5,220,51.16,5.71
R Baaleri,219,263,18,94,26,8,T20I,36.5,7.21,14.61,12.17,42.92,152,57.79,6.44
JM Anderson,453,564,18,166,54,16,T20I,75.5,7.47,31.33,25.17,36.64,312,55.32,6.47
Jaswinder Singh,286,388,18,90,22,19,T20I,47.7,8.13,21.56,15.89,31.47,202,52.06,6.98
LL Tsotsobe,482,559,18,211,58,12,T20I,80.3,6.96,31.06,26.78,43.78,304,54.38,6.89
VD Adewoye,326,448,18,102,44,11,T20I,54.3,8.25,24.89,18.11,31.29,242,54.02,5.93
Usman Tariq,188,202,18,64,9,5,T20I,31.3,6.45,11.22,10.44,34.04,66,32.67,13.43
Zabiullah Zahid,422,434,18,181,35,12,T20I,70.3,6.17,24.11,23.44,42.89,212,48.85,8.98
DC Smith,508,640,18,174,45,16,T20I,84.7,7.56,35.56,28.22,34.25,276,43.12,8.33
KT Maphaka,389,561,18,124,43,24,T20I,64.8,8.66,31.17,21.61,31.88,316,56.33,5.81
Sher Sahak,223,247,18,93,17,8,T20I,37.2,6.64,13.72,12.39,41.7,116,46.96,8.92
DA Blignaut,297,345,18,108,21,13,T20I,49.5,6.97,19.17,16.5,36.36,162,46.96,8.74
D Johnson,467,604,18,161,50,21,T20I,77.8,7.76,33.56,25.94,34.48,326,53.97,6.58
NA Greenwood,377,378,18,147,29,6,T20I,62.8,6.02,21.0,20.94,38.99,152,40.21,10.77
Lucky Ali,288,257,18,144,16,7,T20I,48.0,5.35,14.28,16.0,50.0,106,41.25,12.52
R Siriwardena,191,276,18,59,14,17,T20I,31.8,8.68,15.33,10.61,30.89,158,57.25,6.16
L Karlsson,251,253,18,119,22,5,T20I,41.8,6.05,14.06,13.94,47.41,118,46.64,9.3
A Krishna,263,384,18,89,25,23,T20I,43.8,8.77,21.33,14.61,33.84,238,61.98,5.48
S Wickramasekara,367,437,18,128,36,10,T20I,61.2,7.14,24.28,20.39,34.88,204,46.68,7.98
TJG Pringle,423,466,18,161,26,18,T20I,70.5,6.61,25.89,23.5,38.06,212,45.49,9.61
K Santokie,251,286,18,107,25,9,T20I,41.8,6.84,15.89,13.94,42.63,154,53.85,7.38
M Taylor,491,550,18,226,40,22,T20I,81.8,6.72,30.56,27.28,46.03,292,53.09,7.92
B Niaz,214,238,18,89,15,10,T20I,35.7,6.67,13.22,11.89,41.59,120,50.42,8.56
SS Kang,286,284,18,108,12,11,T20I,47.7,5.95,15.78,15.89,37.76,114,40.14,12.43
L Bonner,226,191,18,115,16,2,T20I,37.7,5.07,10.61,12.56,50.88,76,39.79,12.56
Mukesh Kumar,283,393,18,103,38,15,T20I,47.2,8.33,21.83,15.72,36.4,242,61.58,5.34
F Akankwasa,322,329,18,138,26,8,T20I,53.7,6.13,18.28,17.89,42.86,152,46.2,9.47
SK Awiah,279,297,18,106,12,12,T20I,46.5,6.39,16.5,15.5,37.99,120,40.4,11.62
Delawar Khan,346,418,18,139,37,12,T20I,57.7,7.24,23.22,19.22,40.17,220,52.63,7.06
D Panda,217,260,18,81,16,10,T20I,36.2,7.18,14.44,12.06,37.33,124,47.69,8.35
Asad Ali Rehemtulla,297,417,17,106,32,18,T20I,49.5,8.42,24.53,17.47,35.69,236,56.59,5.94
R Mangal,259,342,17,90,23,15,T20I,43.2,7.92,20.12,15.24,34.75,182,53.22,6.82
Mohammed Siraj,388,491,17,160,48,16,T20I,64.7,7.59,28.88,22.82,41.24,288,58.66,6.06
Faheem Nazir,258,311,17,120,22,16,T20I,43.0,7.23,18.29,15.18,46.51,184,59.16,6.79
Mehedi Hasan Miraz,447,635,17,141,38,35,T20I,74.5,8.52,37.35,26.29,31.54,362,57.01,6.12
W Ngowhuad,205,323,17,77,26,19,T20I,34.2,9.44,19.0,12.06,37.56,218,67.49,4.56
Shoaib Akhtar,318,434,17,135,53,13,T20I,53.0,8.19,25.53,18.71,42.45,290,66.82,4.82
BN Toube,298,374,17,124,43,7,T20I,49.7,7.53,22.0,17.53,41.61,214,57.22,5.96
Hamid Mahmood,326,291,17,138,12,8,T20I,54.3,5.36,17.12,19.18,42.33,96,32.99,16.3
R McLaren,274,349,17,92,33,7,T20I,45.7,7.64,20.53,16.12,33.58,174,49.86,6.85
SPD Smith,295,379,17,97,25,15,T20I,49.2,7.7,22.29,17.35,32.88,190,50.13,7.38
AB Dinda,186,249,17,79,36,3,T20I,31.0,8.03,14.65,10.94,42.47,162,65.06,4.77
Shashikant Laxman,309,279,17,152,20,5,T20I,51.5,5.42,16.41,18.18,49.19,110,39.43,12.36
A Natubhai Ahir,409,362,17,200,22,7,T20I,68.2,5.31,21.29,24.06,48.9,130,35.91,14.1
MJ Ansell,433,398,17,226,42,8,T20I,72.2,5.51,23.41,25.47,52.19,216,54.27,8.66
S Nsubuga,257,297,17,113,23,13,T20I,42.8,6.94,17.47,15.12,43.97,170,57.24,7.14
SH Johnson,223,310,17,93,27,12,T20I,37.2,8.33,18.24,13.12,41.7,180,58.06,5.72
Ali Khan,454,642,17,143,54,21,T20I,75.7,8.48,37.76,26.71,31.5,342,53.27,6.05
DM Gondaria,227,231,17,107,12,9,T20I,37.8,6.11,13.59,13.35,47.14,102,44.16,10.81
J Ramanandi,253,329,17,62,17,13,T20I,42.2,7.8,19.35,14.88,24.51,146,44.38,8.43
Yves Cyusa,272,275,17,120,12,13,T20I,45.3,6.07,16.18,16.0,44.12,126,45.82,10.88
D Marks,390,549,17,131,42,24,T20I,65.0,8.45,32.29,22.94,33.59,312,56.83,5.91
Mujeeb-ur-Rehman,367,434,17,149,29,21,T20I,61.2,7.09,25.53,21.59,40.6,242,55.76,7.34
Shivam Sharma,182,168,17,88,8,6,T20I,30.3,5.54,9.88,10.71,48.35,68,40.48,13.0
A Venkatesh,199,217,17,82,21,3,T20I,33.2,6.54,12.76,11.71,41.21,102,47.0,8.29
SN Swamy,239,281,17,85,19,11,T20I,39.8,7.06,16.53,14.06,35.56,142,50.53,7.97
P Thongsa,205,211,17,89,16,7,T20I,34.2,6.17,12.41,12.06,43.41,106,50.24,8.91
T Panyangara,291,371,17,114,50,4,T20I,48.5,7.65,21.82,17.12,39.18,224,60.38,5.39
MR Marsh,316,391,17,109,29,14,T20I,52.7,7.42,23.0,18.59,34.49,200,51.15,7.35
Mehboob Ali,373,491,17,136,47,18,T20I,62.2,7.89,28.88,21.94,36.46,296,60.29,5.74
SFS Cheema,208,268,17,74,16,11,T20I,34.7,7.72,15.76,12.24,35.58,130,48.51,7.7
T Gwandu,317,428,16,123,47,14,T20I,52.8,8.11,26.75,19.81,38.8,272,63.55,5.2
RS Bopara,337,395,16,115,31,8,T20I,56.2,7.03,24.69,21.06,34.12,172,43.54,8.64
WJ Cope,322,391,16,127,39,9,T20I,53.7,7.28,24.44,20.12,39.44,210,53.71,6.71
PD Collingwood,238,353,16,62,22,14,T20I,39.7,8.89,22.06,14.88,26.05,172,48.73,6.61
PR Stirling,490,577,16,155,35,18,T20I,81.7,7.06,36.06,30.62,31.63,248,42.98,9.25
A Husain,286,301,16,99,14,10,T20I,47.7,6.31,18.81,17.88,34.62,116,38.54,11.92
S Kushretha,256,274,16,116,21,9,T20I,42.7,6.42,17.12,16.0,45.31,138,50.36,8.53
CJ Anderson,445,602,16,150,52,20,T20I,74.2,8.11,37.62,27.81,33.71,328,54.49,6.18
SR Thompson,406,531,16,130,51,14,T20I,67.7,7.84,33.19,25.38,32.02,288,54.24,6.25
Yasir Arafat,246,321,16,91,31,9,T20I,41.0,7.83,20.06,15.38,36.99,178,55.45,6.15
CAK Rajitha,394,595,16,136,57,24,T20I,65.7,9.06,37.19,24.62,34.52,372,62.52,4.86
Z Khan,334,400,16,144,45,8,T20I,55.7,7.18,25.0,20.88,43.11,228,57.0,6.3
DM de Silva,307,347,16,103,22,10,T20I,51.2,6.78,21.69,19.19,33.55,148,42.65,9.59
D Wotu,363,408,16,148,31,13,T20I,60.5,6.74,25.5,22.69,40.77,202,49.51,8.25
L Denny,288,350,16,117,17,19,T20I,48.0,7.29,21.88,18.0,40.62,182,52.0,8.0
SM Tupou,225,236,16,89,9,10,T20I,37.5,6.29,14.75,14.06,39.56,96,40.68,11.84
JS Patel,200,276,16,63,17,14,T20I,33.3,8.29,17.25,12.5,31.5,152,55.07,6.45
AK Markram,416,592,16,146,32,41,T20I,69.3,8.54,37.0,26.0,35.1,374,63.18,5.7
KK Ahmed,422,576,16,168,72,15,T20I,70.3,8.19,36.0,26.38,39.81,378,65.62,4.85
SC Kuggeleijn,335,479,16,118,43,20,T20I,55.8,8.58,29.94,20.94,35.22,292,60.96,5.32
Zain Ahmad,214,231,16,90,9,14,T20I,35.7,6.47,14.44,13.38,42.06,120,51.95,9.3
Aftab Hussain,241,252,16,91,18,7,T20I,40.2,6.27,15.75,15.06,37.76,114,45.24,9.64
K Kato-Stafford,170,129,16,88,5,4,T20I,28.3,4.56,8.06,10.62,51.76,44,34.11,18.89
RM Haq,216,249,16,77,16,8,T20I,36.0,6.92,15.56,13.5,35.65,112,44.98,9.0
Mohammad Irfan,467,575,16,206,59,18,T20I,77.8,7.39,35.94,29.19,44.11,344,59.83,6.06
K Kubota,231,182,16,123,13,4,T20I,38.5,4.73,11.38,14.44,53.25,76,41.76,13.59
WG Jacks,241,345,16,87,28,18,T20I,40.2,8.58,21.56,15.06,36.1,220,63.77,5.24
Gurpratap Singh,220,235,16,104,14,10,T20I,36.7,6.4,14.69,13.75,47.27,116,49.36,9.17
S Shrivastava,334,427,16,111,25,20,T20I,55.7,7.67,26.69,20.88,33.23,220,51.52,7.42
Asif Shaikh,300,327,16,122,25,10,T20I,50.0,6.54,20.44,18.75,40.67,160,48.93,8.57
PSRK Sudarshan,304,397,16,110,48,7,T20I,50.7,7.83,24.81,19.0,36.18,234,58.94,5.53
Robert Raina,153,146,16,71,10,5,T20I,25.5,5.73,9.12,9.56,46.41,70,47.95,10.2
U Aryaman Sunil,428,635,16,146,49,30,T20I,71.3,8.91,39.69,26.75,34.11,376,59.21,5.42
Izaz Ali,284,402,16,117,40,15,T20I,47.3,8.5,25.12,17.75,41.2,250,62.19,5.16
JL Tutty,294,302,16,143,24,10,T20I,49.0,6.16,18.88,18.38,48.64,156,51.66,8.65
NM Odhiambo,414,541,16,137,41,17,T20I,69.0,7.84,33.81,25.88,33.09,266,49.17,7.14
H Lin Aung,346,394,16,149,32,15,T20I,57.7,6.83,24.62,21.62,43.06,218,55.33,7.36
Danyal Raja,401,528,16,173,61,16,T20I,66.8,7.9,33.0,25.06,43.14,340,64.39,5.21
DC Stovell,266,293,16,106,19,10,T20I,44.3,6.61,18.31,16.62,39.85,136,46.42,9.17
T Perera,340,461,16,123,41,14,T20I,56.7,8.13,28.81,21.25,36.18,248,53.8,6.18
Muhammad Salman,320,341,16,144,20,15,T20I,53.3,6.4,21.31,20.0,45.0,170,49.85,9.14
RJ Trott,277,306,16,98,19,9,T20I,46.2,6.62,19.12,17.31,35.38,130,42.48,9.89
Tanwir Afzal,321,373,16,156,40,11,T20I,53.5,6.97,23.31,20.06,48.6,226,60.59,6.29
A Mishra,234,247,16,92,15,8,T20I,39.0,6.33,15.44,14.62,39.32,108,43.72,10.17
HMRKB Herath,344,351,16,140,20,14,T20I,57.3,6.13,21.94,21.5,40.7,164,46.72,10.12
MJG Rippon,254,289,15,99,13,14,T20I,42.3,6.83,19.27,16.93,38.98,136,47.06,9.41
Saber Zakhil,283,345,15,110,31,11,T20I,47.2,7.31,23.0,18.87,38.87,190,55.07,6.74
CB Sole,355,553,15,99,47,22,T20I,59.2,9.34,36.87,23.67,27.89,320,57.87,5.14
KK Lin Thu,360,333,15,177,32,7,T20I,60.0,5.55,22.2,24.0,49.17,170,51.05,9.23
AM Hardie,286,399,15,109,37,19,T20I,47.7,8.36,26.6,19.07,38.11,262,65.66,5.11
J Evans,193,220,15,78,14,9,T20I,32.2,6.83,14.67,12.87,40.41,110,50.0,8.39
Syed Maisam Ali,150,145,15,62,8,4,T20I,25.0,5.8,9.67,10.0,41.33,56,38.62,12.5
AK Gokoel,270,278,15,114,20,5,T20I,45.0,6.18,18.53,18.0,42.22,110,39.57,10.8
Meet Bhavsar,245,288,15,96,18,13,T20I,40.8,7.06,19.2,16.33,39.18,150,52.08,7.9
M Khojbariya,309,378,15,140,30,19,T20I,51.5,7.34,25.2,20.6,45.31,234,61.9,6.31
RP Singh,211,237,15,95,30,4,T20I,35.2,6.73,15.8,14.07,45.02,144,60.76,6.21
KS Airee,220,230,15,95,18,6,T20I,36.7,6.27,15.33,14.67,43.18,108,46.96,9.17
KD Shah,440,546,15,176,59,15,T20I,73.3,7.45,36.4,29.33,40.0,326,59.71,5.95
N Pradeep,294,449,15,77,42,16,T20I,49.0,9.16,29.93,19.6,26.19,264,58.8,5.07
Nyeing Cham Soe,240,303,15,92,25,13,T20I,40.0,7.58,20.2,16.0,38.33,178,58.75,6.32
Mohammed Qasim,265,279,15,109,20,9,T20I,44.2,6.31,18.6,17.67,41.13,134,48.03,9.14
Zeeshan Kukikhel,257,344,15,96,38,8,T20I,42.8,8.04,22.93,17.13,37.35,200,58.14,5.59
Irfan Safi,238,362,15,79,27,17,T20I,39.7,9.12,24.13,15.87,33.19,210,58.01,5.41
DR Hooper,341,388,15,126,27,11,T20I,56.8,6.83,25.87,22.73,36.95,174,44.85,8.97
F Damiao Couana,351,400,15,167,36,14,T20I,58.5,6.84,26.67,23.4,47.58,228,57.0,7.02
A Ashokan,363,441,15,130,32,12,T20I,60.5,7.29,29.4,24.2,35.81,200,45.35,8.25
Mosaddek Hossain,286,354,15,94,19,15,T20I,47.7,7.42,23.6,19.07,32.87,166,46.89,8.41
FA Cossa,331,388,15,123,31,9,T20I,55.2,7.03,25.87,22.07,37.16,178,45.88,8.28
TT Maposa,333,476,15,104,44,15,T20I,55.5,8.58,31.73,22.2,31.23,266,55.88,5.64
Muhammad Rohid,288,387,15,110,37,13,T20I,48.0,8.06,25.8,19.2,38.19,226,58.4,5.76
Rehan Ahmed,229,361,15,64,26,21,T20I,38.2,9.45,24.07,15.27,27.95,230,63.71,4.87
NK Tiwari,303,330,15,124,13,17,T20I,50.5,6.53,22.0,20.2,40.92,154,46.67,10.1
Zaid Ahmad,273,349,15,101,31,10,T20I,45.5,7.67,23.27,18.2,37.0,184,52.72,6.66
S Burdekin,177,213,15,65,14,8,T20I,29.5,7.22,14.2,11.8,36.72,104,48.83,8.05
K Nestor,383,549,15,145,41,27,T20I,63.8,8.61,36.6,25.53,37.86,326,59.38,5.63
CRD Fernando,359,430,15,143,40,10,T20I,59.8,7.19,28.67,23.93,39.83,220,51.16,7.18
MPGT Ketiyage,343,410,15,130,30,14,T20I,57.2,7.17,27.33,22.87,37.9,204,49.76,7.8
JAM Henri,314,404,15,132,42,14,T20I,52.3,7.72,26.93,20.93,42.04,252,62.38,5.61
RDB Ahir,257,294,15,108,16,12,T20I,42.8,6.87,19.6,17.13,42.02,136,46.26,9.18
J Singye,394,440,15,148,30,12,T20I,65.7,6.7,29.33,26.27,37.56,192,43.64,9.38
L Shafeeg,334,443,15,125,36,16,T20I,55.7,7.95,29.53,22.27,37.43,240,54.18,6.42
W Madhevere,422,487,15,141,25,17,T20I,70.3,6.93,32.47,28.13,33.41,202,41.48,10.05
R Edwards,212,199,15,81,13,2,T20I,35.3,5.64,13.27,14.13,38.21,64,32.16,14.13
KH Pandya,432,563,15,122,23,29,T20I,72.0,7.82,37.53,28.8,28.24,266,47.25,8.31
DT Doram,300,392,15,109,25,19,T20I,50.0,7.84,26.13,20.0,36.33,214,54.59,6.82
Abul Farhad,220,292,15,88,23,14,T20I,36.7,7.96,19.47,14.67,40.0,176,60.27,5.95
Junaid Aziz,171,253,14,52,13,15,T20I,28.5,8.88,18.07,12.21,30.41,142,56.13,6.11
TS Mills,342,487,14,107,40,21,T20I,57.0,8.54,34.79,24.43,31.29,286,58.73,5.61
Waseeq Ahmed,251,292,14,86,14,11,T20I,41.8,6.99,20.86,17.93,34.26,122,41.78,10.04
Aamir Lal,199,208,14,87,12,7,T20I,33.2,6.27,14.86,14.21,43.72,90,43.27,10.47
RK Paudel,243,264,14,89,14,11,T20I,40.5,6.52,18.86,17.36,36.63,122,46.21,9.72
C Green,234,341,14,78,31,15,T20I,39.0,8.74,24.36,16.71,33.33,214,62.76,5.09
Soyeb Pendi,209,207,14,94,17,3,T20I,34.8,5.95,14.79,14.93,44.98,86,41.55,10.45
Shah Faisal,291,360,14,137,38,12,T20I,48.5,7.42,25.71,20.79,47.08,224,62.22,5.82
Kuldeep Gurjar,202,285,14,63,17,16,T20I,33.7,8.46,20.36,14.43,31.19,164,57.54,6.12
SC Getkate,274,354,14,94,22,16,T20I,45.7,7.75,25.29,19.57,34.31,184,51.98,7.21
RD Atangana,226,155,14,129,7,3,T20I,37.7,4.11,11.07,16.14,57.08,46,29.68,22.6
A Chenthamara,194,222,14,84,20,7,T20I,32.3,6.87,15.86,13.86,43.3,122,54.95,7.19
DPS Tyagi,219,270,14,90,26,9,T20I,36.5,7.4,19.29,15.64,41.1,158,58.52,6.26
Abdullah Rana,137,186,14,46,22,4,T20I,22.8,8.16,13.29,9.79,33.58,112,60.22,5.27
SM Pollock,229,286,14,99,24,14,T20I,38.2,7.49,20.43,16.36,43.23,180,62.94,6.03
Mohammed Irshad,162,212,14,48,11,9,T20I,27.0,7.85,15.14,11.57,29.63,98,46.23,8.1
A Paul,228,318,14,70,21,13,T20I,38.0,8.37,22.71,16.29,30.7,162,50.94,6.71
Musawar Shah,188,215,14,80,17,7,T20I,31.3,6.87,15.36,13.43,42.55,110,51.16,7.83
MO Jones,276,251,14,132,19,5,T20I,46.0,5.46,17.93,19.71,47.83,106,42.23,11.5
Junaid Siddiqui,399,372,14,178,28,7,T20I,66.5,5.59,26.57,28.5,44.61,154,41.4,11.4
Sheraz Sheikh,261,322,14,98,24,14,T20I,43.5,7.4,23.0,18.64,37.55,180,55.9,6.87
M Ozturk,267,343,14,83,21,8,T20I,44.5,7.71,24.5,19.07,31.09,132,38.48,9.21
M Dixit,358,436,14,111,28,13,T20I,59.7,7.3,31.14,25.57,31.01,190,43.58,8.73
AC Douglas,184,184,14,81,11,7,T20I,30.7,5.99,13.14,13.14,44.02,86,46.74,10.22
Mohammad Atif,242,193,14,128,13,2,T20I,40.3,4.79,13.79,17.29,52.89,64,33.16,16.13
GD Elliott,195,241,14,56,16,8,T20I,32.5,7.42,17.21,13.93,28.72,112,46.47,8.12
JD Unadkat,223,306,14,83,22,16,T20I,37.2,8.23,21.86,15.93,37.22,184,60.13,5.87
A Nathwani,304,367,14,122,34,8,T20I,50.7,7.24,26.21,21.71,40.13,184,50.14,7.24
CK Langeveldt,186,236,14,76,17,10,T20I,31.0,7.61,16.86,13.29,40.86,128,54.24,6.89
AL Stephen,292,356,14,111,25,15,T20I,48.7,7.31,25.43,20.86,38.01,190,53.37,7.3
R Ankad,207,163,14,110,11,3,T20I,34.5,4.72,11.64,14.79,53.14,62,38.04,14.79
G Chohan,277,401,13,95,37,13,T20I,46.2,8.68,30.85,21.31,34.3,226,56.36,5.54
S Desungnoen,344,395,13,104,19,14,T20I,57.3,6.89,30.38,26.46,30.23,160,40.51,10.42
S di Bartolomeo,149,129,13,77,12,3,T20I,24.8,5.2,9.92,11.46,51.68,66,51.16,9.93
RM Dorji,310,418,13,96,27,19,T20I,51.7,8.09,32.15,23.85,30.97,222,53.11,6.74
YK Pathan,303,433,13,86,26,21,T20I,50.5,8.57,33.31,23.31,28.38,230,53.12,6.45
CJ Dala,204,309,13,77,39,10,T20I,34.0,9.09,23.77,15.69,37.75,216,69.9,4.16
P Gheewala,267,345,13,94,33,8,T20I,44.5,7.75,26.54,20.54,35.21,180,52.17,6.51
R Bakum,218,270,13,85,21,11,T20I,36.3,7.44,20.77,16.77,38.99,150,55.56,6.81
Muhammad Siddiqui,256,322,13,100,34,8,T20I,42.7,7.54,24.77,19.69,39.06,184,57.14,6.1
