player,runs,balls,fours,sixes,outs,format,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary
Bipul Sharma,187,124,11,9,6,IPL,31.17,150.81,98,52.41,6.2
FY Fazal,183,179,22,1,9,IPL,20.33,102.23,94,51.37,7.78
SD Hope,183,125,12,12,7,IPL,26.14,146.4,120,65.57,5.21
MS Wade,183,185,23,2,13,IPL,14.08,98.92,104,56.83,7.4
Sikandar Raza,182,143,12,8,7,IPL,26.0,127.27,96,52.75,7.15
CR Brathwaite,181,120,10,16,13,IPL,13.92,150.83,136,75.14,4.62
AC Voges,181,143,15,3,4,IPL,45.25,126.57,78,43.09,7.94
S Gopal,180,173,19,2,12,IPL,15.0,104.05,88,48.89,8.24
AB Agarkar,179,160,13,5,8,IPL,22.38,111.87,82,45.81,8.89
MF Maharoof,177,124,12,9,10,IPL,17.7,142.74,102,57.63,5.9
C Munro,177,144,19,8,9,IPL,19.67,122.92,124,70.06,5.33
MW Short,177,153,21,5,9,IPL,19.67,115.69,114,64.41,5.88
DH Yagnik,170,142,23,2,9,IPL,18.89,119.72,104,61.18,5.68
MD Choudhary,170,122,11,12,6,IPL,28.33,139.34,116,68.24,5.3
CM Gautam,169,158,17,6,9,IPL,18.78,106.96,104,61.54,6.87
MN van Wyk,167,135,19,1,3,IPL,55.67,123.7,82,49.1,6.75
MG Johnson,167,168,10,7,13,IPL,12.85,99.4,82,49.1,9.88
DW Steyn,167,163,14,3,20,IPL,8.35,102.45,74,44.31,9.59
Suryansh Shedge,165,104,9,12,7,IPL,23.57,158.65,108,65.45,4.95
PA Reddy,164,167,15,2,10,IPL,16.4,98.2,72,43.9,9.82
JG Bethell,163,120,21,6,9,IPL,18.11,135.83,120,73.62,4.44
N Jagadeesan,162,155,21,2,9,IPL,18.0,104.52,96,59.26,6.74
MN Samuels,161,174,9,7,11,IPL,14.64,92.53,78,48.45,10.88
R McLaren,159,178,14,1,8,IPL,19.88,89.33,62,38.99,11.87
RE van der Merwe,159,144,11,8,11,IPL,14.45,110.42,92,57.86,7.58
V Nigam,157,92,18,8,6,IPL,26.17,170.65,120,76.43,3.54
J Overton,151,98,14,7,5,IPL,30.2,154.08,98,64.9,4.67
Azmatullah Omarzai,151,105,11,10,10,IPL,15.1,143.81,104,68.87,5.0
AD Hales,148,119,13,6,6,IPL,24.67,124.37,88,59.46,6.26
D Wiese,148,105,12,7,5,IPL,29.6,140.95,90,60.81,5.53
SM Pollock,147,116,12,8,8,IPL,18.38,126.72,96,65.31,5.8
S Vidyut,145,115,21,3,8,IPL,18.12,126.09,102,70.34,4.79
Sachin Baby,144,123,11,5,9,IPL,16.0,117.07,74,51.39,7.69
DL Chahar,142,105,8,9,10,IPL,14.2,135.24,86,60.56,6.18
Arshad Khan,142,102,6,11,6,IPL,23.67,139.22,90,63.38,6.0
N Saini,140,143,16,0,10,IPL,14.0,97.9,64,45.71,8.94
Anmolpreet Singh,139,117,19,3,9,IPL,15.44,118.8,94,67.63,5.32
S Anirudha,136,121,9,7,8,IPL,17.0,112.4,78,57.35,7.56
MJ Santner,136,132,9,6,8,IPL,17.0,103.03,72,52.94,8.8
GD Phillips,132,112,7,8,11,IPL,12.0,117.86,76,57.58,7.47
SB Styris,131,134,10,3,7,IPL,18.71,97.76,58,44.27,10.31
W Jaffer,130,129,14,3,7,IPL,18.57,100.78,74,56.92,7.59
RD Chahar,129,127,13,5,15,IPL,8.6,101.57,82,63.57,7.06
Kamran Akmal,128,78,13,8,4,IPL,32.0,164.1,100,78.12,3.71
UT Khawaja,127,105,14,3,5,IPL,25.4,120.95,74,58.27,6.18
TK Curran,127,108,10,3,5,IPL,25.4,117.59,58,45.67,8.31
P Dogra,127,141,4,5,8,IPL,15.88,90.07,46,36.22,15.67
SS Prabhudessai,126,113,11,4,9,IPL,14.0,111.5,68,53.97,7.53
M Morkel,126,93,11,5,10,IPL,12.6,135.48,74,58.73,5.81
BB Samantray,125,116,13,2,5,IPL,25.0,107.76,64,51.2,7.73
MM Sharma,125,140,9,4,17,IPL,7.35,89.29,60,48.0,10.77
MC Juneja,125,134,11,1,7,IPL,17.86,93.28,50,40.0,11.17
B Lee,124,102,8,8,9,IPL,13.78,121.57,80,64.52,6.38
AB McDonald,123,103,9,4,5,IPL,24.6,119.42,60,48.78,7.92
Harpreet Singh,123,119,10,3,6,IPL,20.5,103.36,58,47.15,9.15
DL Vettori,121,118,11,2,7,IPL,17.29,102.54,56,46.28,9.08
NK Patel,121,124,14,1,4,IPL,30.25,97.58,62,51.24,8.27
S Arora,121,81,9,9,6,IPL,20.17,149.38,90,74.38,4.5
TG Southee,120,108,8,4,11,IPL,10.91,111.11,56,46.67,9.0
AC Blizzard,120,91,21,2,7,IPL,17.14,131.87,96,80.0,3.96
Misbah-ul-Haq,117,82,10,6,7,IPL,16.71,142.68,76,64.96,5.12
Z Khan,117,141,11,2,14,IPL,8.36,82.98,56,47.86,10.85
Mohammed Siraj,117,144,11,4,11,IPL,10.64,81.25,68,58.12,9.6
RJ Harris,117,112,6,3,12,IPL,9.75,104.46,42,35.9,12.44
KK Cooper,116,70,9,8,9,IPL,12.89,165.71,84,72.41,4.12
Aman Hakim Khan,115,109,8,6,9,IPL,12.78,105.5,68,59.13,7.79
Mohammed Shami,115,116,9,5,19,IPL,6.05,99.14,66,57.39,8.29
DJM Short,115,102,11,5,7,IPL,16.43,112.75,74,64.35,6.38
M Kartik,113,109,7,1,6,IPL,18.83,103.67,34,30.09,13.62
DJ Harris,111,103,11,5,3,IPL,37.0,107.77,74,66.67,6.44
MA Starc,111,122,11,0,11,IPL,10.09,90.98,44,39.64,11.09
LJ Wright,106,63,16,3,4,IPL,26.5,168.25,82,77.36,3.32
JDP Oram,106,110,6,5,8,IPL,13.25,96.36,54,50.94,10.0
DS Kulkarni,104,113,7,2,8,IPL,13.0,92.04,40,38.46,12.56
RJ Quiney,103,105,12,3,7,IPL,14.71,98.1,66,64.08,7.0
SD Chitnis,99,92,10,2,7,IPL,14.14,107.61,52,52.53,7.67
MS Gony,99,76,6,8,9,IPL,11.0,130.26,72,72.73,5.43
CJ Ferguson,98,119,9,0,6,IPL,16.33,82.35,36,36.73,13.22
MJ Clarke,98,96,12,0,6,IPL,16.33,102.08,48,48.98,8.0
C Bosch,97,63,8,5,3,IPL,32.33,153.97,62,63.92,4.85
PN Mankad,97,75,13,2,3,IPL,32.33,129.33,64,65.98,5.0
TA Boult,93,90,5,4,9,IPL,10.33,103.33,44,47.31,10.0
DJ Jacobs,92,101,10,4,7,IPL,13.14,91.09,64,69.57,7.21
PR Shah,92,97,9,2,8,IPL,11.5,94.85,48,52.17,8.82
PHKD Mendis,92,72,7,2,4,IPL,23.0,127.78,40,43.48,8.0
Himmat Singh,92,74,5,5,3,IPL,30.67,124.32,50,54.35,7.4
JDS Neesham,92,93,6,2,8,IPL,11.5,98.92,36,39.13,11.62
S Rana,91,82,9,1,4,IPL,22.75,110.98,42,46.15,8.2
AJ Tye,91,79,6,5,8,IPL,11.38,115.19,54,59.34,7.18
RT Ponting,91,129,5,2,8,IPL,11.38,70.54,32,35.16,18.43
AD Nath,90,99,7,2,10,IPL,9.0,90.91,40,44.44,11.0
PR Veer,90,72,10,3,2,IPL,45.0,125.0,58,64.44,5.54
MD Shanaka,89,74,5,5,6,IPL,14.83,120.27,50,56.18,7.4
SL Malinga,88,103,6,5,11,IPL,8.0,85.44,54,61.36,9.36
Iqbal Abdulla,88,86,9,1,1,IPL,88.0,102.33,42,47.73,8.6
