player,team,matches,format,runs,balls_x,fours,sixes,outs,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary_x,balls_y,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary_y,strengths,weaknesses
V Kohli,Royal Challengers Bangalore,282,IPL,9346.0,7127.0,847.0,317.0,229.0,40.81,131.14,5290.0,56.6,6.12,264.0,371.0,4.0,52.0,25.0,11.0,44.0,8.43,92.75,66.0,19.7,166.0,44.74,7.33,"Experienced Batter, Consistent Batter, Boundary Hitter",No Major Weakness Detected
RG Sharma,Mumbai Indians,281,IPL,7331.0,5659.0,661.0,324.0,244.0,30.05,129.55,4588.0,62.58,5.75,349.0,462.0,15.0,88.0,29.0,14.0,58.2,7.94,30.8,23.27,25.21,200.0,43.29,8.12,"Experienced Batter, Boundary Hitter",No Major Weakness Detected
MS Dhoni,Rising Pune Supergiant,277,IPL,5439.0,4101.0,375.0,264.0,139.0,39.13,132.63,3084.0,56.7,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Consistent Batter, Boundary Hitter",No Major Weakness Detected
RA Jadeja,Gujarat Lions,267,IPL,3526.0,2816.0,264.0,122.0,119.0,29.63,125.21,1788.0,50.71,7.3,4329.0,5525.0,180.0,1342.0,327.0,237.0,721.5,7.66,30.69,24.05,31.0,2730.0,49.41,7.68,"Experienced Batter, Wicket Taking Bowler",No Major Weakness Detected
KD Karthik,Gujarat Lions,257,IPL,4843.0,3687.0,466.0,161.0,175.0,27.67,131.35,2830.0,58.43,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Boundary Hitter",No Major Weakness Detected
S Dhawan,Sunrisers Hyderabad,222,IPL,6769.0,5483.0,768.0,153.0,187.0,36.2,123.45,3990.0,58.95,5.95,49.0,72.0,4.0,17.0,7.0,3.0,8.2,8.78,18.0,12.25,34.69,46.0,63.89,4.9,"Experienced Batter, Consistent Batter, Boundary Hitter",No Major Weakness Detected
R Ashwin,Kings XI Punjab,219,IPL,833.0,728.0,64.0,29.0,61.0,13.66,114.42,430.0,51.62,7.83,4868.0,5721.0,187.0,1606.0,334.0,221.0,811.3,7.05,30.59,26.03,32.99,2662.0,46.53,8.77,Wicket Taking Bowler,Slow Scorer
AM Rahane,Rising Pune Supergiant,212,IPL,5367.0,4391.0,540.0,141.0,172.0,31.2,122.23,3006.0,56.01,6.45,6.0,5.0,1.0,2.0,0.0,0.0,1.0,5.0,5.0,6.0,33.33,0.0,0.0,0.0,"Experienced Batter, Boundary Hitter, Economical Bowler",No Major Weakness Detected
B Kumar,Sunrisers Hyderabad,206,IPL,354.0,392.0,34.0,4.0,35.0,10.11,90.31,160.0,45.2,10.32,4769.0,6045.0,226.0,1897.0,607.0,186.0,794.8,7.61,26.75,21.1,39.78,3544.0,58.63,6.01,Wicket Taking Bowler,No Major Weakness Detected
RV Uthappa,Kolkata Knight Riders,205,IPL,4954.0,3927.0,481.0,182.0,175.0,28.31,126.15,3016.0,60.88,5.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Boundary Hitter",No Major Weakness Detected
AT Rayudu,Mumbai Indians,204,IPL,4348.0,3490.0,359.0,173.0,148.0,29.38,124.58,2474.0,56.9,6.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Boundary Hitter",No Major Weakness Detected
SK Raina,Gujarat Lions,204,IPL,5536.0,4177.0,506.0,204.0,162.0,34.17,132.54,3248.0,58.67,5.88,930.0,1139.0,25.0,280.0,71.0,44.0,155.0,7.35,45.56,37.2,30.11,548.0,48.11,8.09,"Experienced Batter, Boundary Hitter",No Major Weakness Detected
SP Narine,Kolkata Knight Riders,201,IPL,1820.0,1178.0,191.0,120.0,98.0,18.57,154.5,1484.0,81.54,3.79,4730.0,5379.0,209.0,1786.0,340.0,206.0,788.3,6.82,25.74,22.63,37.76,2596.0,48.26,8.66,"Aggressive Batter, Boundary Hitter, Wicket Taking Bowler, Economical Bowler",No Major Weakness Detected
PP Chawla,Kolkata Knight Riders,192,IPL,624.0,580.0,56.0,20.0,53.0,11.77,107.59,344.0,55.13,7.63,3895.0,5179.0,192.0,1325.0,374.0,222.0,649.2,7.98,26.97,20.29,34.02,2828.0,54.61,6.54,"Boundary Hitter, Wicket Taking Bowler",Slow Scorer
SV Samson,Delhi Daredevils,190,IPL,5181.0,3770.0,432.0,243.0,159.0,32.58,137.43,3186.0,61.49,5.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Boundary Hitter",No Major Weakness Detected
KA Pollard,Mumbai Indians,189,IPL,3437.0,2447.0,221.0,224.0,120.0,28.64,140.46,2228.0,64.82,5.5,1586.0,2200.0,69.0,405.0,169.0,78.0,264.3,8.32,31.88,22.99,25.54,1144.0,52.0,6.42,"Experienced Batter, Boundary Hitter",No Major Weakness Detected
YS Chahal,Royal Challengers Bangalore,189,IPL,37.0,89.0,0.0,0.0,6.0,6.17,41.57,0.0,0.0,0.0,4167.0,5501.0,233.0,1319.0,317.0,271.0,694.5,7.92,23.61,17.88,31.65,2894.0,52.61,7.09,Wicket Taking Bowler,No Major Weakness Detected
DA Warner,Sunrisers Hyderabad,184,IPL,6567.0,4849.0,663.0,236.0,158.0,41.56,135.43,4068.0,61.95,5.39,2.0,2.0,0.0,0.0,0.0,0.0,0.3,6.67,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Consistent Batter, Boundary Hitter, Economical Bowler",No Major Weakness Detected
AB de Villiers,Royal Challengers Bangalore,183,IPL,5181.0,3487.0,414.0,253.0,122.0,42.47,148.58,3174.0,61.26,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Aggressive Batter, Consistent Batter, Boundary Hitter",No Major Weakness Detected
MK Pandey,Kolkata Knight Riders,180,IPL,4021.0,3406.0,348.0,118.0,135.0,29.79,118.06,2100.0,52.23,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Experienced Batter,Slow Scorer
SA Yadav,Kolkata Knight Riders,179,IPL,4581.0,3154.0,482.0,178.0,133.0,34.44,145.24,2996.0,65.4,4.78,6.0,8.0,0.0,2.0,1.0,0.0,1.0,8.0,0.0,0.0,33.33,4.0,50.0,6.0,"Experienced Batter, Aggressive Batter, Boundary Hitter",No Major Weakness Detected
AR Patel,Kings XI Punjab,177,IPL,2089.0,1635.0,146.0,100.0,94.0,22.22,127.77,1184.0,56.68,6.65,3639.0,4503.0,139.0,1167.0,281.0,190.0,606.5,7.42,32.4,26.18,32.07,2264.0,50.28,7.73,"Boundary Hitter, Wicket Taking Bowler",No Major Weakness Detected
YK Pathan,Kolkata Knight Riders,174,IPL,3222.0,2334.0,263.0,161.0,105.0,30.69,138.05,2018.0,62.63,5.5,1184.0,1443.0,42.0,393.0,99.0,57.0,197.3,7.31,34.36,28.19,33.19,738.0,51.14,7.59,"Experienced Batter, Boundary Hitter",No Major Weakness Detected
WP Saha,Kings XI Punjab,169,IPL,2934.0,2368.0,296.0,87.0,118.0,24.86,123.9,1706.0,58.15,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Hitter,No Major Weakness Detected
Harbhajan Singh,Mumbai Indians,163,IPL,833.0,636.0,79.0,42.0,51.0,16.33,130.97,568.0,68.19,5.26,3496.0,4101.0,150.0,1263.0,296.0,145.0,582.7,7.04,27.34,23.31,36.13,2054.0,50.09,7.93,"Boundary Hitter, Wicket Taking Bowler",No Major Weakness Detected
HH Pandya,Mumbai Indians,162,IPL,2964.0,2116.0,228.0,157.0,104.0,28.5,140.08,1854.0,62.55,5.5,1865.0,2802.0,82.0,584.0,247.0,127.0,310.8,9.02,34.17,22.74,31.31,1750.0,62.46,4.99,Boundary Hitter,Expensive Bowler
A Mishra,Delhi Daredevils,162,IPL,381.0,440.0,31.0,5.0,28.0,13.61,86.59,154.0,40.42,12.22,3444.0,4193.0,174.0,1185.0,239.0,184.0,574.0,7.3,24.1,19.79,34.41,2060.0,49.13,8.14,Wicket Taking Bowler,No Major Weakness Detected
KL Rahul,Kings XI Punjab,160,IPL,5828.0,4302.0,509.0,239.0,125.0,46.62,135.47,3470.0,59.54,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Experienced Batter, Consistent Batter, Boundary Hitter",No Major Weakness Detected
