player,runs,balls,fours,sixes,outs,format,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary
JA Burns,271,198,26,10,6,T20I,45.17,136.87,164,60.52,5.5
T Rossi,270,242,15,13,15,T20I,18.0,111.57,138,51.11,8.64
Muhammad Zohaib,270,273,27,6,12,T20I,22.5,98.9,144,53.33,8.27
RR Sharan,270,289,20,16,13,T20I,20.77,93.43,176,65.19,8.03
Rizwan Butt,270,242,7,20,27,T20I,10.0,111.57,148,54.81,8.96
LE Bosman,270,192,22,18,12,T20I,22.5,140.62,196,72.59,4.8
Lokesh Bam,269,190,26,16,15,T20I,17.93,141.58,200,74.35,4.52
M Spoors,269,231,30,6,7,T20I,38.43,116.45,156,57.99,6.42
Ritik Tomar,268,247,22,10,19,T20I,14.11,108.5,148,55.22,7.72
Sohaib Maqsood,268,238,20,11,19,T20I,14.11,112.61,146,54.48,7.68
JV Chand,268,260,23,6,8,T20I,33.5,103.08,128,47.76,8.97
R Abdulkareem,267,322,19,9,20,T20I,13.35,82.92,130,48.69,11.5
AT Carey,267,250,23,7,24,T20I,11.12,106.8,134,50.19,8.33
C De Freitas,267,152,27,12,6,T20I,44.5,175.66,180,67.42,3.9
Kamran Ahmadzai,267,177,17,16,9,T20I,29.67,150.85,164,61.42,5.36
Muslim Yar,266,225,16,15,18,T20I,14.78,118.22,154,57.89,7.26
S Vesawkar,266,272,20,7,10,T20I,26.6,97.79,122,45.86,10.07
Mohammad Saifuddin,266,240,21,10,11,T20I,24.18,110.83,144,54.14,7.74
Suman Ghimire,265,226,29,5,7,T20I,37.86,117.26,146,55.09,6.65
Rafiullah,265,160,13,26,19,T20I,13.95,165.62,208,78.49,4.1
R Baaleri,265,337,19,2,14,T20I,18.93,78.64,88,33.21,16.05
R Mutumbami,264,228,17,14,16,T20I,16.5,115.79,152,57.58,7.35
MV Boucher,264,281,22,2,14,T20I,18.86,93.95,100,37.88,11.71
NM Salonen,263,243,16,10,17,T20I,15.47,108.23,124,47.15,9.35
Osama Mahmood,263,249,25,7,10,T20I,26.3,105.62,142,53.99,7.78
D Johnson,263,238,21,10,22,T20I,11.95,110.5,144,54.75,7.68
Abdul-Shakoor Rahimzei,262,249,21,7,14,T20I,18.71,105.22,126,48.09,8.89
LB Ferbrache,262,297,13,4,13,T20I,20.15,88.22,76,29.01,17.47
R Tari,262,256,11,9,19,T20I,13.79,102.34,98,37.4,12.8
Mehran Khan,262,257,14,12,27,T20I,9.7,101.95,128,48.85,9.88
A Turkmen,262,213,24,12,10,T20I,26.2,123.0,168,64.12,5.92
SA Wijeratne,261,224,38,2,11,T20I,23.73,116.52,164,62.84,5.6
Z Bimenyimana,261,226,15,15,29,T20I,9.0,115.49,150,57.47,7.53
Qamar Mushtaque,261,264,17,10,15,T20I,17.4,98.86,128,49.04,9.78
D Pretorius,261,166,22,15,12,T20I,21.75,157.23,178,68.2,4.49
H Hiri,261,256,22,7,12,T20I,21.75,101.95,130,49.81,8.83
XM Marshall,261,267,22,8,17,T20I,15.35,97.75,136,52.11,8.9
A Venkatesh,260,255,24,2,11,T20I,23.64,101.96,108,41.54,9.81
KH Abe,260,227,16,13,17,T20I,15.29,114.54,142,54.62,7.83
TS Kamunhukamwe,259,256,25,10,12,T20I,21.58,101.17,160,61.78,7.31
C Hartmann,259,267,16,9,13,T20I,19.92,97.0,118,45.56,10.68
Waqas Barkat,259,286,20,0,22,T20I,11.77,90.56,80,30.89,14.3
Azhar Andani,258,261,30,1,8,T20I,32.25,98.85,126,48.84,8.42
Lucas Rossi,258,275,24,4,15,T20I,17.2,93.82,120,46.51,9.82
Amoluk Singh,258,249,36,5,10,T20I,25.8,103.61,174,67.44,6.07
SY Nihute,258,298,14,4,15,T20I,17.2,86.58,80,31.01,16.56
Nasrulla Rana,257,228,18,12,22,T20I,11.68,112.72,144,56.03,7.6
ASF Sirah,257,222,26,8,14,T20I,18.36,115.77,152,59.14,6.53
JT Smuts,257,247,27,10,19,T20I,13.53,104.05,168,65.37,6.68
I Udana,256,191,16,14,14,T20I,18.29,134.03,148,57.81,6.37
SE Marsh,255,254,15,10,13,T20I,19.62,100.39,120,47.06,10.16
NMS Param,254,210,21,7,9,T20I,28.22,120.95,126,49.61,7.5
Kashif Siddique,254,192,39,6,11,T20I,23.09,132.29,192,75.59,4.27
Ameer Saiyed,253,278,20,4,16,T20I,15.81,91.01,104,41.11,11.58
Jordan O'Brien,253,249,26,4,22,T20I,11.5,101.61,128,50.59,8.3
Sayed Monib,253,144,14,22,15,T20I,16.87,175.69,188,74.31,4.0
Yasin Patel,253,298,10,8,15,T20I,16.87,84.9,88,34.78,16.56
Khizar Hayat,253,270,15,5,18,T20I,14.06,93.7,90,35.57,13.5
CP Rizwan,252,230,21,4,10,T20I,25.2,109.57,108,42.86,9.2
M Jansen,252,178,15,20,14,T20I,18.0,141.57,180,71.43,5.09
R Coker,252,402,18,2,25,T20I,10.08,62.69,84,33.33,20.1
RA Herman,250,201,21,10,9,T20I,27.78,124.38,144,57.6,6.48
FA Cossa,250,235,24,13,10,T20I,25.0,106.38,174,69.6,6.35
RV Uthappa,249,215,26,6,10,T20I,24.9,115.81,140,56.22,6.72
SH Venugopal,249,235,14,7,10,T20I,24.9,105.96,98,39.36,11.19
B Kohler-Cadmore,249,137,29,14,6,T20I,41.5,181.75,200,80.32,3.19
Aminuddin Ramly,249,170,11,19,15,T20I,16.6,146.47,158,63.45,5.67
JS Malhotra,248,219,18,9,11,T20I,22.55,113.24,126,50.81,8.11
Muhammad Siddiqui,248,228,24,12,11,T20I,22.55,108.77,168,67.74,6.33
M Raikes,248,175,25,10,6,T20I,41.33,141.71,160,64.52,5.0
D Muhumuza,247,258,19,9,11,T20I,22.45,95.74,130,52.63,9.21
Wasim Ali,247,204,18,12,12,T20I,20.58,121.08,144,58.3,6.8
Abhishek Ahuja,246,227,19,10,12,T20I,20.5,108.37,136,55.28,7.83
Sufyan Mehmood,245,318,16,5,12,T20I,20.42,77.04,94,38.37,15.14
Junaid Siddique,245,207,22,10,19,T20I,12.89,118.36,148,60.41,6.47
AA Rahayu,244,274,20,7,15,T20I,16.27,89.05,122,50.0,10.15
Awais Ahmed,244,224,25,9,14,T20I,17.43,108.93,154,63.11,6.59
AT Nidamanuru,244,232,10,13,18,T20I,13.56,105.17,118,48.36,10.09
BM Pecic,243,235,16,14,12,T20I,20.25,103.4,148,60.91,7.83
IS Sodhi,243,228,13,13,27,T20I,9.0,106.58,130,53.5,8.77
Shakeel Ahmed,243,262,16,9,17,T20I,14.29,92.75,118,48.56,10.48
S Houghton,243,316,19,7,18,T20I,13.5,76.9,118,48.56,12.15
S Foster,243,268,19,0,14,T20I,17.36,90.67,76,31.28,14.11
Amir Zaib,243,199,21,7,12,T20I,20.25,122.11,126,51.85,7.11
PL Mommsen,242,192,21,7,7,T20I,34.57,126.04,126,52.07,6.86
Harmeet Singh,242,173,13,15,15,T20I,16.13,139.88,142,58.68,6.18
C Tommy,242,270,16,6,17,T20I,14.24,89.63,100,41.32,12.27
UT Khawaja,241,185,31,5,8,T20I,30.12,130.27,154,63.9,5.14
Aaftab Alam Khan,241,209,20,9,14,T20I,17.21,115.31,134,55.6,7.21
JN Malan,241,188,25,11,11,T20I,21.91,128.19,166,68.88,5.22
GSNFG Jayasuriya,241,228,20,8,16,T20I,15.06,105.7,128,53.11,8.14
D Ferreira,240,161,13,17,12,T20I,20.0,149.07,154,64.17,5.37
D Sabir,240,213,19,6,15,T20I,16.0,112.68,112,46.67,8.52
AB Kamara,240,267,9,8,15,T20I,16.0,89.89,84,35.0,15.71
Sandeep Goud,240,309,10,11,25,T20I,9.6,77.67,106,44.17,14.71
Amjad Javed,240,226,12,15,11,T20I,21.82,106.19,138,57.5,8.37
C Dickson,238,252,13,7,14,T20I,17.0,94.44,94,39.5,12.6
SC Getkate,238,209,9,13,17,T20I,14.0,113.88,114,47.9,9.5
J Campbell,238,195,15,12,10,T20I,23.8,122.05,132,55.46,7.22
F Suluoto,238,262,15,12,18,T20I,13.22,90.84,132,55.46,9.7
Mohamed Arief,237,200,26,5,11,T20I,21.55,118.5,134,56.54,6.45
Khalid Latif,237,230,25,6,9,T20I,26.33,103.04,136,57.38,7.42
A Pusthay,236,285,23,3,17,T20I,13.88,82.81,110,46.61,10.96
RE Levi,236,171,20,15,11,T20I,21.45,138.01,170,72.03,4.89
YK Pathan,236,172,11,17,13,T20I,18.15,137.21,146,61.86,6.14
Izaz Ali,235,191,20,12,15,T20I,15.67,123.04,152,64.68,5.97
BF Mailata,234,248,14,14,12,T20I,19.5,94.35,140,59.83,8.86
J Miyaji,233,222,5,14,19,T20I,12.26,104.95,104,44.64,11.68
A Oxley,233,283,15,2,7,T20I,33.29,82.33,72,30.9,16.65
MT Renshaw,233,190,12,7,6,T20I,38.83,122.63,90,38.63,10.0
V Zimonjic,232,220,24,3,17,T20I,13.65,105.45,114,49.14,8.15
Umair Qasim,232,244,21,7,17,T20I,13.65,95.08,126,54.31,8.71
GT Taylor,232,303,24,7,18,T20I,12.89,76.57,138,59.48,9.77
J Tuffin,232,250,12,5,13,T20I,17.85,92.8,78,33.62,14.71
P Murungi,231,201,21,8,16,T20I,14.44,114.93,132,57.14,6.93
VE Tembo,231,204,25,8,15,T20I,15.4,113.24,148,64.07,6.18
Mohamed Azzam,231,325,13,2,24,T20I,9.62,71.08,64,27.71,21.67
Shahil Momin,231,255,14,1,11,T20I,21.0,90.59,62,26.84,17.0
BAD Manenti,231,161,20,12,10,T20I,23.1,143.48,152,65.8,5.03
R Escobar,230,311,11,2,10,T20I,23.0,73.95,56,24.35,23.92
E Solomon,229,217,24,0,6,T20I,38.17,105.53,96,41.92,9.04
NRJ Croes,228,177,22,1,8,T20I,28.5,128.81,94,41.23,7.7
B Ito-Davis,228,220,13,5,15,T20I,15.2,103.64,82,35.96,12.22
Devender Singh,227,236,17,7,11,T20I,20.64,96.19,110,48.46,9.83
Khurram Nawaz,227,199,16,11,10,T20I,22.7,114.07,130,57.27,7.37
MA Baig,226,265,19,3,7,T20I,32.29,85.28,94,41.59,12.05
MN van Wyk,225,163,19,14,6,T20I,37.5,138.04,160,71.11,4.94
DAS Gunaratne,225,183,19,6,9,T20I,25.0,122.95,112,49.78,7.32
Mahmud Jasat,224,319,14,2,15,T20I,14.93,70.22,68,30.36,19.94
G Thakur,224,199,24,6,9,T20I,24.89,112.56,132,58.93,6.63
SKDT Madusanka,224,267,30,2,10,T20I,22.4,83.9,132,58.93,8.34
Zeshan Arif,223,191,17,13,14,T20I,15.93,116.75,146,65.47,6.37
Taskin Ahmed,223,227,19,8,19,T20I,11.74,98.24,124,55.61,8.41
S Maduranga,223,302,20,5,13,T20I,17.15,73.84,110,49.33,12.08
Nasibullah Arab,222,135,26,12,10,T20I,22.2,164.44,176,79.28,3.55
Akhil Anil,222,195,17,10,14,T20I,15.86,113.85,128,57.66,7.22
K Mirpuri,222,232,15,4,5,T20I,44.4,95.69,84,37.84,12.21
Luka Woods,222,159,18,15,7,T20I,31.71,139.62,162,72.97,4.82
A Shahi,222,161,13,17,15,T20I,14.8,137.89,154,69.37,5.37
D Cleaver,222,171,22,8,10,T20I,22.2,129.82,136,61.26,5.7
CN Onwuzulike,222,227,17,8,16,T20I,13.88,97.8,116,52.25,9.08
Rishad Hossain,221,194,13,16,26,T20I,8.5,113.92,148,66.97,6.69
J Mubarak,221,175,19,8,10,T20I,22.1,126.29,124,56.11,6.48
Delawar Khan,221,175,13,13,14,T20I,15.79,126.29,130,58.82,6.73
Rony Talukdar,220,167,23,7,9,T20I,24.44,131.74,134,60.91,5.57
C Potgieter,220,180,14,15,9,T20I,24.44,122.22,146,66.36,6.21
Hadisullah Tarakhel,220,132,24,15,7,T20I,31.43,166.67,186,84.55,3.38
Ali Farasat,219,200,12,12,17,T20I,12.88,109.5,120,54.79,8.33
E Mathew,219,245,11,6,19,T20I,11.53,89.39,80,36.53,14.41
SSJ Brooks,218,219,15,11,11,T20I,19.82,99.54,126,57.8,8.42
Simi Singh,218,215,16,4,20,T20I,10.9,101.4,88,40.37,10.75
DK Anefie,218,189,9,11,14,T20I,15.57,115.34,102,46.79,9.45
AK Sah,218,188,19,12,13,T20I,16.77,115.96,148,67.89,6.06
DG Blampied,218,233,11,1,12,T20I,18.17,93.56,50,22.94,19.42
Natim Hassam,218,200,19,5,6,T20I,36.33,109.0,106,48.62,8.33
S Cotter,218,233,24,3,13,T20I,16.77,93.56,114,52.29,8.63
I Kaia,218,199,23,5,14,T20I,15.57,109.55,122,55.96,7.11
Khalid Ahmadi,217,129,16,17,11,T20I,19.73,168.22,166,76.5,3.91
SF Mire,217,174,18,11,6,T20I,36.17,124.71,138,63.59,6.0
Baseer Khan,216,207,13,9,14,T20I,15.43,104.35,106,49.07,9.41
D Parashar,216,207,9,8,10,T20I,21.6,104.35,84,38.89,12.18
TT Bresnan,216,172,16,6,12,T20I,18.0,125.58,100,46.3,7.82
ARA Chambers,216,242,25,1,12,T20I,18.0,89.26,106,49.07,9.31
Ali Saleem,216,187,14,11,11,T20I,19.64,115.51,122,56.48,7.48
Atif Rasheed,215,189,12,10,15,T20I,14.33,113.76,108,50.23,8.59
EMDY Munaweera,215,172,25,7,12,T20I,17.92,125.0,142,66.05,5.38
WP Masakadza,215,248,13,5,24,T20I,8.96,86.69,82,38.14,13.78
S Prasanna,214,176,13,13,14,T20I,15.29,121.59,130,60.75,6.77
MP Ainsworth,214,281,12,3,13,T20I,16.46,76.16,66,30.84,18.73
KTK Rodrigo,214,240,22,3,11,T20I,19.45,89.17,106,49.53,9.6
P Suanchuai,214,316,18,3,21,T20I,10.19,67.72,90,42.06,15.05
HV Mandhyan,214,238,15,7,15,T20I,14.27,89.92,102,47.66,10.82
A Busing-Volschenk,213,156,4,17,7,T20I,30.43,136.54,118,55.4,7.43
N Khanna,213,173,24,4,12,T20I,17.75,123.12,120,56.34,6.18
K Nestor,213,244,19,7,20,T20I,10.65,87.3,118,55.4,9.38
Hamid Safi,211,156,8,21,11,T20I,19.18,135.26,158,74.88,5.38
Khalid Zahid,211,156,15,10,14,T20I,15.07,135.26,120,56.87,6.24
Muhammad Fahad,211,90,21,17,4,T20I,52.75,234.44,186,88.15,2.37
S Samarawickrama,211,212,23,1,13,T20I,16.23,99.53,98,46.45,8.83
CJ Delany,210,205,22,1,7,T20I,30.0,102.44,94,44.76,8.91
CA Ingram,210,165,23,7,8,T20I,26.25,127.27,134,63.81,5.5
Haris Sohail,210,213,16,3,11,T20I,19.09,98.59,82,39.05,11.21
ZXM Vukusic,210,162,14,12,8,T20I,26.25,129.63,128,60.95,6.23
CN Kakuru,209,212,19,2,17,T20I,12.29,98.58,88,42.11,10.1
Amir Butt,208,165,9,14,8,T20I,26.0,126.06,120,57.69,7.17
Hamza Tariq,207,151,13,10,10,T20I,20.7,137.09,112,54.11,6.57
C Nunes,207,142,17,10,6,T20I,34.5,145.77,128,61.84,5.26
BMAJ Mendis,207,186,18,6,10,T20I,20.7,111.29,108,52.17,7.75
E Rukiriza,207,277,11,6,28,T20I,7.39,74.73,80,38.65,16.29
SL Verma,206,137,7,16,4,T20I,51.5,150.36,124,60.19,5.96
DJ Willey,206,161,15,11,13,T20I,15.85,127.95,126,61.17,6.19
Ali Nawaz,206,189,12,8,13,T20I,15.85,108.99,96,46.6,9.45
T Mishra,206,239,15,4,12,T20I,17.17,86.19,84,40.78,12.58
WL Madsen,205,158,20,5,6,T20I,34.17,129.75,110,53.66,6.32
DL Vettori,205,197,14,2,11,T20I,18.64,104.06,68,33.17,12.31
J Jemison,204,282,15,2,19,T20I,10.74,72.34,72,35.29,16.59
M Yunusu Issa,203,173,14,9,16,T20I,12.69,117.34,110,54.19,7.52
GR Russ,203,243,18,2,10,T20I,20.3,83.54,84,41.38,12.15
DS Smith,203,170,22,5,5,T20I,40.6,119.41,118,58.13,6.3
JM Kemp,203,163,17,10,3,T20I,67.67,124.54,128,63.05,6.04
Aftab Ahmed,203,174,22,5,9,T20I,22.56,116.67,118,58.13,6.44
Saghar Manzoor,202,222,20,9,15,T20I,13.47,90.99,134,66.34,7.66
EF Beard,201,180,20,5,11,T20I,18.27,111.67,110,54.73,7.2
Zada Sher,201,150,12,12,10,T20I,20.1,134.0,120,59.7,6.25
J Botha,201,171,15,9,11,T20I,18.27,117.54,114,56.72,7.12
LG Pretorius,201,167,27,4,13,T20I,15.46,120.36,132,65.67,5.39
D Panda,201,179,12,5,9,T20I,22.33,112.29,78,38.81,10.53
Wahidullah Sahak,200,179,18,7,12,T20I,16.67,111.73,114,57.0,7.16
C Esterhuizen,200,143,16,13,4,T20I,50.0,139.86,142,71.0,4.93
Vinay Ravi,199,197,14,6,17,T20I,11.71,101.02,92,46.23,9.85
Luis Hermida,199,279,11,0,9,T20I,22.11,71.33,44,22.11,25.36
Sachin Mandy,199,191,14,11,16,T20I,12.44,104.19,122,61.31,7.64
C Bah,199,199,12,8,20,T20I,9.95,100.0,96,48.24,9.95
BDH Stevens,199,209,19,3,11,T20I,18.09,95.22,94,47.24,9.5
S Mathur,198,231,11,4,12,T20I,16.5,85.71,68,34.34,15.4
DC Stovell,198,197,13,3,9,T20I,22.0,100.51,70,35.35,12.31
Yasser Nazir,198,178,21,8,11,T20I,18.0,111.24,132,66.67,6.14
AN Toube,197,219,13,10,21,T20I,9.38,89.95,112,56.85,9.52
T Suri,197,180,19,3,9,T20I,21.89,109.44,94,47.72,8.18
S Ramakrishnan,197,175,22,4,6,T20I,32.83,112.57,112,56.85,6.73
SP Krishnamurthi,196,141,11,12,6,T20I,32.67,139.01,116,59.18,6.13
Paing Danu,196,235,15,9,15,T20I,13.07,83.4,114,58.16,9.79
LJ Leokaoke,196,188,28,4,6,T20I,32.67,104.26,136,69.39,5.88
KMDN Kulasekara,196,184,14,5,21,T20I,9.33,106.52,86,43.88,9.68
Jitin Singh,196,186,26,1,15,T20I,13.07,105.38,110,56.12,6.89
Sohail Tanvir,196,172,16,9,15,T20I,13.07,113.95,118,60.2,6.88
DA Mehta,194,203,26,2,12,T20I,16.17,95.57,116,59.79,7.25
Zain Ahmad,194,191,24,3,16,T20I,12.12,101.57,114,58.76,7.07
AD Dore,194,192,20,4,11,T20I,17.64,101.04,104,53.61,8.0
Kazim Somani,194,236,15,2,8,T20I,24.25,82.2,72,37.11,13.88
Usman Najeeb,194,151,9,13,14,T20I,13.86,128.48,114,58.76,6.86
N Knights,193,148,16,13,12,T20I,16.08,130.41,142,73.58,5.1
MW Machan,193,143,24,2,4,T20I,48.25,134.97,108,55.96,5.5
OF Smith,193,148,13,12,12,T20I,16.08,130.41,124,64.25,5.92
Mukhtar Ahmed,192,142,23,5,6,T20I,32.0,135.21,122,63.54,5.07
Asad Shafiq,192,190,19,2,9,T20I,21.33,101.05,88,45.83,9.05
Tanzim Hasan Sakib,192,180,13,8,13,T20I,14.77,106.67,100,52.08,8.57
U Aryaman Sunil,191,156,11,12,16,T20I,11.94,122.44,116,60.73,6.78
S Burdekin,191,197,16,8,13,T20I,14.69,96.95,112,58.64,8.21
R Gunasekera,191,189,22,3,7,T20I,27.29,101.06,106,55.5,7.56
Zeerak Chughtai,191,216,14,5,10,T20I,19.1,88.43,86,45.03,11.37
HMHE Parsons,191,174,16,9,12,T20I,15.92,109.77,118,61.78,6.96
Praveen Santhanakrishnan,191,215,22,4,15,T20I,12.73,88.84,112,58.64,8.27
J Martins,191,163,15,8,9,T20I,21.22,117.18,108,56.54,7.09
A Halbhavi,191,204,25,3,16,T20I,11.94,93.63,118,61.78,7.29
XSD Smith,190,184,7,8,10,T20I,19.0,103.26,76,40.0,12.27
NK Tiwari,190,228,15,5,11,T20I,17.27,83.33,90,47.37,11.4
Shafiq Sharif,190,161,24,4,11,T20I,17.27,118.01,120,63.16,5.75
Ismail Ali,189,172,10,11,13,T20I,14.54,109.88,106,56.08,8.19
Umar Nawaz,189,195,16,9,9,T20I,21.0,96.92,118,62.43,7.8
M Khojbariya,189,192,21,2,14,T20I,13.5,98.44,96,50.79,8.35
SR Patel,189,179,17,5,12,T20I,15.75,105.59,98,51.85,8.14
Fawad Alam,189,167,6,7,11,T20I,17.18,113.17,66,34.92,12.85
CE McConchie,189,169,16,3,10,T20I,18.9,111.83,82,43.39,8.89
Irfan Khan,189,145,20,7,6,T20I,31.5,130.34,122,64.55,5.37
Mohammad Shahzad,189,179,19,5,12,T20I,15.75,105.59,106,56.08,7.46
IR Bell,188,166,23,2,7,T20I,26.86,113.25,104,55.32,6.64
Ali Nadeem,188,133,15,8,3,T20I,62.67,141.35,108,57.45,5.78
OJR Groves,188,165,13,8,4,T20I,47.0,113.94,100,53.19,7.86
ML Castillo,187,208,12,9,12,T20I,15.58,89.9,102,54.55,9.9
N Nuntarach,187,310,10,1,26,T20I,7.19,60.32,46,24.6,28.18
Irfan Ringku,187,139,17,9,8,T20I,23.38,134.53,122,65.24,5.35
Gurpratap Singh,187,142,10,15,10,T20I,18.7,131.69,130,69.52,5.68
CJ Bowes,187,161,27,2,11,T20I,17.0,116.15,120,64.17,5.55
H Lin Aung,187,314,9,10,27,T20I,6.93,59.55,96,51.34,16.53
Ibrahim Hassan,187,257,9,5,20,T20I,9.35,72.76,66,35.29,18.36
CD McMillan,187,119,8,14,5,T20I,37.4,157.14,116,62.03,5.41
A Manepalli,186,189,18,3,9,T20I,20.67,98.41,90,48.39,9.0
JR Philippe,186,177,13,5,15,T20I,12.4,105.08,82,44.09,9.83
A Reyes,185,229,17,2,12,T20I,15.42,80.79,80,43.24,12.05
AA Jasani,185,158,15,6,5,T20I,37.0,117.09,96,51.89,7.52
R Ashwin,184,167,17,4,7,T20I,26.29,110.18,92,50.0,7.95
Ainool Hafizs,184,203,12,4,24,T20I,7.67,90.64,72,39.13,12.69
Haseeb Ghafoor,184,175,10,10,3,T20I,61.33,105.14,100,54.35,8.75
H Lin Oo,184,230,18,1,15,T20I,12.27,80.0,78,42.39,12.11
K Rabada,184,167,18,6,12,T20I,15.33,110.18,108,58.7,6.96
BJ Jacobs,183,135,10,10,6,T20I,30.5,135.56,100,54.64,6.75
BJ Hodge,183,146,10,7,7,T20I,26.14,125.34,82,44.81,8.59
H Patel,182,203,15,1,10,T20I,18.2,89.66,66,36.26,12.69
SM Sharif,182,180,9,5,14,T20I,13.0,101.11,66,36.26,12.86
SZ Vayani,182,196,15,4,16,T20I,11.38,92.86,84,46.15,10.32
LM Gabriel,181,235,22,2,16,T20I,11.31,77.02,100,55.25,9.79
A Yon,181,172,16,7,11,T20I,16.45,105.23,106,58.56,7.48
J Liyanage,181,179,13,3,8,T20I,22.62,101.12,70,38.67,11.19
C Tlali,180,249,19,3,20,T20I,9.0,72.29,94,52.22,11.32
J Vijay,180,140,26,4,8,T20I,22.5,128.57,128,71.11,4.67
AR Cusack,180,136,16,5,9,T20I,20.0,132.35,94,52.22,6.48
Yasar Haroon,180,270,18,2,15,T20I,12.0,66.67,84,46.67,13.5
AM Hardie,180,149,19,5,8,T20I,22.5,120.81,106,58.89,6.21
Anwar Arudin,180,187,21,5,18,T20I,10.0,96.26,114,63.33,7.19
H Jangariya,180,146,20,8,7,T20I,25.71,123.29,128,71.11,5.21
B Fitchet,179,188,21,5,14,T20I,12.79,95.21,114,63.69,7.23
MJ Owen,179,126,7,14,9,T20I,19.89,142.06,112,62.57,6.0
SP Patil,179,212,16,4,11,T20I,16.27,84.43,88,49.16,10.6
Jakir Patel,179,163,14,8,9,T20I,19.89,109.82,104,58.1,7.41
N Chejay,179,248,14,2,11,T20I,16.27,72.18,68,37.99,15.5
Sidhant Singh,178,144,15,6,7,T20I,25.43,123.61,96,53.93,6.86
Nazimuddin,178,164,13,10,7,T20I,25.43,108.54,112,62.92,7.13
H Rathod,178,157,15,5,5,T20I,35.6,113.38,90,50.56,7.85
Virk Ali,178,197,14,4,9,T20I,19.78,90.36,80,44.94,10.94
JF Mooney,176,163,18,1,9,T20I,19.56,107.98,78,44.32,8.58
Faheem Nellancheri,176,141,14,10,12,T20I,14.67,124.82,116,65.91,5.88
Lucky Ali,176,211,14,0,11,T20I,16.0,83.41,56,31.82,15.07
AAP Rivero,176,203,8,4,13,T20I,13.54,86.7,56,31.82,16.92
Choudry Share Ali,176,102,15,11,5,T20I,35.2,172.55,126,71.59,3.92
LPC Silva,175,184,19,3,13,T20I,13.46,95.11,94,53.71,8.36
Muhammad Kashif,175,148,9,12,8,T20I,21.88,118.24,108,61.71,7.05
JR Barry,175,273,14,0,7,T20I,25.0,64.1,56,32.0,19.5
BKB Corbin,175,148,18,11,12,T20I,14.58,118.24,138,78.86,5.1
S Vashisht,175,187,13,5,13,T20I,13.46,93.58,82,46.86,10.39
CAJ Meschede,174,114,9,13,3,T20I,58.0,152.63,114,65.52,5.18
L Vincent,174,186,17,3,9,T20I,19.33,93.55,86,49.43,9.3
DO Leicher,174,195,8,5,9,T20I,19.33,89.23,62,35.63,15.0
WD Parnell,174,189,13,4,10,T20I,17.4,92.06,76,43.68,11.12
A Sokovagone,174,131,10,12,6,T20I,29.0,132.82,112,64.37,5.95
CAK Walton,174,172,14,10,14,T20I,12.43,101.16,116,66.67,7.17
BF Calitz,174,123,10,10,9,T20I,19.33,141.46,100,57.47,6.15
MK Thakur,173,154,10,9,11,T20I,15.73,112.34,94,54.34,8.11
STRA de Silva,173,205,13,1,9,T20I,19.22,84.39,58,33.53,14.64
Hassan Rasheed,173,210,9,6,15,T20I,11.53,82.38,72,41.62,14.0
IK Pathan,172,146,9,7,7,T20I,24.57,117.81,78,45.35,9.12
W Wotu,172,184,5,12,15,T20I,11.47,93.48,92,53.49,10.82
J Fernando,172,127,12,9,7,T20I,24.57,135.43,102,59.3,6.05
KMA Paul,172,155,10,10,8,T20I,21.5,110.97,100,58.14,7.75
Aslam Mohammad,171,155,11,12,9,T20I,19.0,110.32,116,67.84,6.74
D Jansen,171,162,12,5,8,T20I,21.38,105.56,78,45.61,9.53
GD Elliott,171,159,13,2,8,T20I,21.38,107.55,64,37.43,10.6
Muhammad Yasin,171,165,16,6,11,T20I,15.55,103.64,100,58.48,7.5
AD Poynter,171,137,17,7,7,T20I,24.43,124.82,110,64.33,5.71
SR Thompson,171,147,10,6,14,T20I,12.21,116.33,76,44.44,9.19
Mohammed Al Balushi,171,160,19,10,5,T20I,34.2,106.88,136,79.53,5.52
KB Patil,170,202,11,4,14,T20I,12.14,84.16,68,40.0,13.47
Abdul Wahid,170,136,13,8,6,T20I,28.33,125.0,100,58.82,6.48
F Nsubuga,170,162,9,10,12,T20I,14.17,104.94,96,56.47,8.53
K Klesse,170,165,11,6,6,T20I,28.33,103.03,80,47.06,9.71
Shariq Munir,169,120,15,8,8,T20I,21.12,140.83,108,63.91,5.22
F Achelam,169,172,9,10,14,T20I,12.07,98.26,96,56.8,9.05
Yves Cyusa,169,218,15,4,13,T20I,13.0,77.52,84,49.7,11.47
Saad Khan,168,166,15,6,10,T20I,16.8,101.2,96,57.14,7.9
H Niaz,168,123,17,8,10,T20I,16.8,136.59,116,69.05,4.92
J Alegra,168,195,9,4,10,T20I,16.8,86.15,60,35.71,15.0
Tamoor Sajjad,167,145,11,7,5,T20I,33.4,115.17,86,51.5,8.06
Kaushal Kumar,167,182,20,4,8,T20I,20.88,91.76,104,62.28,7.58
Gurdeep Singh,167,181,18,3,8,T20I,20.88,92.27,90,53.89,8.62
HJ Jordaan,166,214,10,4,7,T20I,23.71,77.57,64,38.55,15.29
Ali Rahmon,166,148,20,3,7,T20I,23.71,112.16,98,59.04,6.43
T van der Gugten,166,122,8,9,9,T20I,18.44,136.07,86,51.81,7.18
G Motie,166,138,11,11,12,T20I,13.83,120.29,110,66.27,6.27
