player,runs,balls,fours,sixes,outs,format,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary
PM Seelaar,557,516,40,11,28,T20I,19.89,107.95,226,40.57,10.12
T Perera,555,543,54,16,23,T20I,24.13,102.21,312,56.22,7.76
OGL Bascome,554,414,41,38,26,T20I,21.31,133.82,392,70.76,5.24
D Myers,553,444,51,17,26,T20I,21.27,124.55,306,55.33,6.53
Shahid Wasif,552,486,43,22,18,T20I,30.67,113.58,304,55.07,7.48
MJ Lumb,552,422,64,21,26,T20I,21.23,130.81,382,69.2,4.96
M Podosky,551,508,45,28,28,T20I,19.68,108.46,348,63.16,6.96
Faheem Ashraf,549,408,37,31,38,T20I,14.45,134.56,334,60.84,6.0
JA Morkel,549,395,27,38,24,T20I,22.88,138.99,336,61.2,6.08
Muhammad Amir,549,554,52,13,38,T20I,14.45,99.1,286,52.09,8.52
Haider Ali,548,454,45,23,36,T20I,15.22,120.7,318,58.03,6.68
AR Naidoo,544,553,44,15,20,T20I,27.2,98.37,266,48.9,9.37
Ayan Khan,540,531,33,16,29,T20I,18.62,101.69,228,42.22,10.84
IA De Silva,539,553,52,22,22,T20I,24.5,97.47,340,63.08,7.47
MR Swart,539,472,45,14,18,T20I,29.94,114.19,264,48.98,8.0
Raghav Dhawan,539,512,41,15,17,T20I,31.71,105.27,254,47.12,9.14
AJ Mosca,539,419,40,21,15,T20I,35.93,128.64,286,53.06,6.87
D Kansonkho,538,622,46,12,28,T20I,19.21,86.5,256,47.58,10.72
Shamim Hossain,537,448,47,20,28,T20I,19.18,119.87,308,57.36,6.69
L Lamin,536,604,33,23,30,T20I,17.87,88.74,270,50.37,10.79
Dylan Steyn,535,430,64,8,14,T20I,38.21,124.42,304,56.82,5.97
KC D'Souza,535,359,32,37,17,T20I,31.47,149.03,350,65.42,5.2
PV Vuniwaqa,533,372,43,40,15,T20I,35.53,143.28,412,77.3,4.48
RE van der Merwe,532,428,40,15,27,T20I,19.7,124.3,250,46.99,7.78
G Stewart,532,343,35,44,19,T20I,28.0,155.1,404,75.94,4.34
GR Adair,531,391,51,30,23,T20I,23.09,135.81,384,72.32,4.83
Aman Desai,531,481,49,15,30,T20I,17.7,110.4,286,53.86,7.52
VS Padhaal,531,531,49,11,27,T20I,19.67,100.0,262,49.34,8.85
M Coetzee,528,412,71,12,26,T20I,20.31,128.16,356,67.42,4.96
BM Duckett,527,354,69,8,19,T20I,27.74,148.87,324,61.48,4.6
Tenjin Rabgey,526,635,44,14,32,T20I,16.44,82.83,260,49.43,10.95
C Kieswetter,526,474,47,23,22,T20I,23.91,110.97,326,61.98,6.77
SO Ngoche,526,478,43,17,33,T20I,15.94,110.04,274,52.09,7.97
T Jamtsho,524,476,45,26,34,T20I,15.41,110.08,336,64.12,6.7
YS Samra,524,348,48,30,14,T20I,37.43,150.57,372,70.99,4.46
SSM Stanislaus,521,525,37,20,26,T20I,20.04,99.24,268,51.44,9.21
YS Chauhan,520,441,46,18,16,T20I,32.5,117.91,292,56.15,6.89
F Behardien,518,416,37,16,16,T20I,32.38,124.52,244,47.1,7.85
E Beukes,517,430,32,33,20,T20I,25.85,120.23,326,63.06,6.62
MTMMJ Ave,516,486,44,19,15,T20I,34.4,106.17,290,56.2,7.71
Mohammad Haris,515,374,45,26,26,T20I,19.81,137.7,336,65.24,5.27
WAE Burton,515,384,54,31,23,T20I,22.39,134.11,402,78.06,4.52
MJ Richardson,513,510,47,5,17,T20I,30.18,100.59,218,42.5,9.81
CJ Chibhabha,512,459,59,13,26,T20I,19.69,111.55,314,61.33,6.38
RA Jadeja,508,421,38,14,22,T20I,23.09,120.67,236,46.46,8.1
M Akayezu,508,444,33,28,56,T20I,9.07,114.41,300,59.06,7.28
M van Lingen,507,450,61,13,26,T20I,19.5,112.67,322,63.51,6.08
MN Waller,507,371,36,24,19,T20I,26.68,136.66,288,56.8,6.18
Janak Prakash,506,417,31,20,26,T20I,19.46,121.34,244,48.22,8.18
S Jora,505,432,27,24,26,T20I,19.42,116.9,252,49.9,8.47
C de Grandhomme,505,383,27,30,31,T20I,16.29,131.85,288,57.03,6.72
OJ Hairs,504,321,47,33,25,T20I,20.16,157.01,386,76.59,4.01
DM Gondaria,503,412,45,17,23,T20I,21.87,122.09,282,56.06,6.65
W Niyitanga,501,630,28,19,36,T20I,13.92,79.52,226,45.11,13.4
Nurul Hasan,500,447,28,19,30,T20I,16.67,111.86,226,45.2,9.51
IDA Damarell,499,455,55,8,25,T20I,19.96,109.67,268,53.71,7.22
V Sibanda,498,498,52,11,24,T20I,20.75,100.0,274,55.02,7.9
J Bangura,497,654,38,7,36,T20I,13.81,75.99,194,39.03,14.53
Imran Nazir,495,377,58,22,20,T20I,24.75,131.3,364,73.54,4.71
V Ganesan,492,491,51,1,23,T20I,21.39,100.2,210,42.68,9.44
RA Sealy,492,400,36,24,27,T20I,18.22,123.0,288,58.54,6.67
TP Visee,491,351,67,17,27,T20I,18.19,139.89,370,75.36,4.18
Salman Butt,488,469,58,6,19,T20I,25.68,104.05,268,54.92,7.33
MJ Clarke,488,490,29,10,22,T20I,22.18,99.59,176,36.07,12.56
Talha Khan,486,485,39,11,22,T20I,22.09,100.21,222,45.68,9.7
R Bakum,486,469,36,20,29,T20I,16.76,103.62,264,54.32,8.38
PW Borren,485,381,51,13,23,T20I,21.09,127.3,282,58.14,5.95
MO Kitunda,485,527,40,15,36,T20I,13.47,92.03,250,51.55,9.58
Karan KC,485,324,21,41,31,T20I,15.65,149.69,330,68.04,5.23
ND Laegsgaard,484,343,41,29,20,T20I,24.2,141.11,338,69.83,4.9
J Mosca,483,345,54,16,17,T20I,28.41,140.0,312,64.6,4.93
LM Jongwe,483,405,42,14,27,T20I,17.89,119.26,252,52.17,7.23
JDP Oram,482,350,38,23,24,T20I,20.08,137.71,290,60.17,5.74
J Bulele,482,544,55,4,16,T20I,30.12,88.6,244,50.62,9.22
MB Kruger,481,457,51,15,29,T20I,16.59,105.25,294,61.12,6.92
Isa Zaroo,481,387,57,14,21,T20I,22.9,124.29,312,64.86,5.45
N Dickwella,480,374,61,9,25,T20I,19.2,128.34,298,62.08,5.34
A Limdawala,479,556,40,13,29,T20I,16.52,86.15,238,49.69,10.49
SW Billings,478,377,41,16,27,T20I,17.7,126.79,260,54.39,6.61
M Campopiano,477,411,39,14,16,T20I,29.81,116.06,240,50.31,7.75
Sher Sahak,476,365,29,27,24,T20I,19.83,130.41,278,58.4,6.52
A Randhawa,475,541,32,12,27,T20I,17.59,87.8,200,42.11,12.3
Mehboob Ali,475,276,49,37,18,T20I,26.39,172.1,418,88.0,3.21
GJ Bailey,475,350,37,20,17,T20I,27.94,135.71,268,56.42,6.14
Habib Khan,473,390,39,25,19,T20I,24.89,121.28,306,64.69,6.09
US Hathinjar,472,440,41,24,25,T20I,18.88,107.27,308,65.25,6.77
Hammad Mirza,472,449,40,14,23,T20I,20.52,105.12,244,51.69,8.31
VD Adewoye,471,397,36,22,35,T20I,13.46,118.64,276,58.6,6.84
Saad Bin Zafar,471,388,38,16,17,T20I,27.71,121.39,248,52.65,7.19
Sahil Chauhan,471,271,25,43,15,T20I,31.4,173.8,358,76.01,3.99
SA Jumbe,470,469,34,23,33,T20I,14.24,100.21,274,58.3,8.23
D Norotam,470,352,52,17,17,T20I,27.65,133.52,310,65.96,5.1
A Ferguson,469,528,53,2,17,T20I,27.59,88.83,224,47.76,9.6
ZM Tribe,464,446,37,12,22,T20I,21.09,104.04,220,47.41,9.1
JEC Franklin,463,398,28,23,22,T20I,21.05,116.33,250,54.0,7.8
Shayan Jahangir,463,353,41,18,16,T20I,28.94,131.16,272,58.75,5.98
Umer Imtiaz,462,427,37,25,30,T20I,15.4,108.2,298,64.5,6.89
S Gooch,461,399,43,13,13,T20I,35.46,115.54,250,54.23,7.12
M Kasselman,459,408,40,16,18,T20I,25.5,112.5,256,55.77,7.29
Imad Wasim,459,339,50,10,32,T20I,14.34,135.4,260,56.64,5.65
JD Ryder,457,369,47,18,19,T20I,24.05,123.85,296,64.77,5.68
LF Muller,457,398,50,10,18,T20I,25.39,114.82,260,56.89,6.63
IKEG Artawan,457,521,42,14,42,T20I,10.88,87.72,252,55.14,9.3
SP Gomes,456,372,45,10,11,T20I,41.45,122.58,240,52.63,6.76
P Mishra,453,426,27,35,31,T20I,14.61,106.34,318,70.2,6.87
Khawar Ali,452,456,47,14,26,T20I,17.38,99.12,272,60.18,7.48
Saud Islam,452,440,43,9,17,T20I,26.59,102.73,226,50.0,8.46
KN Chaddha,452,444,39,11,16,T20I,28.25,101.8,222,49.12,8.88
Aslam Khan,451,311,47,31,26,T20I,17.35,145.02,374,82.93,3.99
Shoaib Khan,447,436,39,18,28,T20I,15.96,102.52,264,59.06,7.65
HB Dickson,446,319,50,18,17,T20I,26.24,139.81,308,69.06,4.69
D Gumyusenge,445,456,36,18,26,T20I,17.12,97.59,252,56.63,8.44
T Parima,445,365,38,25,19,T20I,23.42,121.92,302,67.87,5.79
P Useni,445,316,22,31,32,T20I,13.91,140.82,274,61.57,5.96
Mahedi Hasan,444,447,34,14,32,T20I,13.88,99.33,220,49.55,9.31
Mohammad Ahnaff,443,404,34,20,14,T20I,31.64,109.65,256,57.79,7.48
JM Vince,441,351,43,14,16,T20I,27.56,125.64,256,58.05,6.16
Hussain Talat,441,401,41,5,19,T20I,23.21,109.98,194,43.99,8.72
A Sharma,439,387,50,12,17,T20I,25.82,113.44,272,61.96,6.24
Arun Yadav,438,295,45,19,11,T20I,39.82,148.47,294,67.12,4.61
Ali Masood,436,451,42,9,21,T20I,20.76,96.67,222,50.92,8.84
OB Nightingale,435,413,29,5,17,T20I,25.59,105.33,146,33.56,12.15
L Canessane,434,395,37,13,29,T20I,14.97,109.87,226,52.07,7.9
Bilal Masud,434,362,32,16,13,T20I,33.38,119.89,224,51.61,7.54
MG Bracewell,434,343,36,17,18,T20I,24.11,126.53,246,56.68,6.47
AM Tribe,433,366,36,15,17,T20I,25.47,118.31,234,54.04,7.18
Gaurav Tiwari,433,470,39,11,20,T20I,21.65,92.13,222,51.27,9.4
S Wickramasekara,433,343,32,22,20,T20I,21.65,126.24,260,60.05,6.35
G Burrows,432,376,36,10,13,T20I,33.23,114.89,204,47.22,8.17
DS Bajwa,432,350,43,13,15,T20I,28.8,123.43,250,57.87,6.25
Pargat Singh,430,379,39,14,20,T20I,21.5,113.46,240,55.81,7.15
Ibrahim Rahimi,430,285,19,39,20,T20I,21.5,150.88,310,72.09,4.91
Faisal Mubashir,428,435,33,6,11,T20I,38.91,98.39,168,39.25,11.15
Younis Khan,428,347,31,12,17,T20I,25.18,123.34,196,45.79,8.07
RN ten Doeschate,428,323,21,17,10,T20I,42.8,132.51,186,43.46,8.5
Manan Bashir,428,198,18,47,13,T20I,32.92,216.16,354,82.71,3.05
Saif Hassan,427,386,24,25,19,T20I,22.47,110.62,246,57.61,7.88
PK Matautaava,426,364,30,21,21,T20I,20.29,117.03,246,57.75,7.14
A Donovan,425,316,30,23,10,T20I,42.5,134.49,258,60.71,5.96
Khushdil Shah,425,421,26,20,23,T20I,18.48,100.95,224,52.71,9.15
S Periyalwar,424,446,46,3,19,T20I,22.32,95.07,202,47.64,9.1
KC Ramamoorthy,424,409,37,17,25,T20I,16.96,103.67,250,58.96,7.57
CJ Jordan,424,332,29,21,30,T20I,14.13,127.71,242,57.08,6.64
Hassan Nawaz,424,277,22,33,19,T20I,22.32,153.07,286,67.45,5.04
S Thakor,423,316,41,21,32,T20I,13.22,133.86,290,68.56,5.1
W Miyauchi,423,439,36,3,21,T20I,20.14,96.36,162,38.3,11.26
AA Senn,422,507,26,6,18,T20I,23.44,83.23,140,33.18,15.84
S Nadigotla,421,390,36,13,26,T20I,16.19,107.95,222,52.73,7.96
A Kirschbaum,420,429,32,6,24,T20I,17.5,97.9,164,39.05,11.29
Sheraz Sheikh,419,381,27,28,23,T20I,18.22,109.97,276,65.87,6.93
Avishka Iroshan,419,368,37,19,15,T20I,27.93,113.86,262,62.53,6.57
N Mugabe,418,412,37,13,16,T20I,26.12,101.46,226,54.07,8.24
HER Tyler,418,344,40,19,26,T20I,16.08,121.51,274,65.55,5.83
T Tshose,417,385,21,22,32,T20I,13.03,108.31,216,51.8,8.95
S Ivetic,417,446,30,13,10,T20I,41.7,93.5,198,47.48,10.37
S Thanikaithasan,416,359,29,15,21,T20I,19.81,115.88,206,49.52,8.16
VB Chikkannaiah,416,442,30,12,19,T20I,21.89,94.12,192,46.15,10.52
Milind Kumar,416,401,25,9,13,T20I,32.0,103.74,154,37.02,11.79
MW Short,416,284,40,20,20,T20I,20.8,146.48,280,67.31,4.73
Namgay Thinley,414,417,29,20,29,T20I,14.28,99.28,236,57.0,8.51
R Rohan,414,432,43,12,26,T20I,15.92,95.83,244,58.94,7.85
A Patmore,414,472,39,0,23,T20I,18.0,87.71,156,37.68,12.1
P Silas,413,411,31,5,24,T20I,17.21,100.49,154,37.29,11.42
Imran Ali Butt,413,442,38,11,18,T20I,22.94,93.44,218,52.78,9.02
HJ Manenti,412,373,35,11,19,T20I,21.68,110.46,206,50.0,8.11
JP Kaltapau,411,438,27,8,17,T20I,24.18,93.84,156,37.96,12.51
Mehedi Hasan Miraz,410,363,36,10,24,T20I,17.08,112.95,204,49.76,7.89
J Barker,409,461,29,2,17,T20I,24.06,88.72,128,31.3,14.87
D Suzuki,407,416,39,6,28,T20I,14.54,97.84,192,47.17,9.24
H Deshan,407,344,50,8,19,T20I,21.42,118.31,248,60.93,5.93
WU Tharanga,407,348,42,12,25,T20I,16.28,116.95,240,58.97,6.44
DM Bravo,405,400,32,14,18,T20I,22.5,101.25,212,52.35,8.7
Zubair Ali,405,339,34,15,9,T20I,45.0,119.47,226,55.8,6.92
