bowler,balls,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,format,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary
SA Yadav,6,8,0,2,1,0,IPL,1.0,8.0,,,33.33,4,50.0,6.0
C Munro,12,15,0,5,1,1,IPL,2.0,7.5,,,41.67,10,66.67,6.0
SPD Smith,2,5,0,0,1,0,IPL,0.3,16.67,,,0.0,4,80.0,2.0
Tejas Baroka,21,33,0,6,2,2,IPL,3.5,9.43,,,28.57,20,60.61,5.25
Sunny Gupta,19,47,0,0,4,3,IPL,3.2,14.69,,,0.0,34,72.34,2.71
PR Veer,12,25,0,5,1,3,IPL,2.0,12.5,,,41.67,22,88.0,3.0
Krish Bhagat,36,63,0,15,5,5,IPL,6.0,10.5,,,41.67,50,79.37,3.6
K Upadhyay,56,81,0,20,9,3,IPL,9.3,8.71,,,35.71,54,66.67,4.67
RV Patel,20,22,0,5,2,0,IPL,3.3,6.67,,,25.0,8,36.36,10.0
YBK Jaiswal,1,6,0,0,0,1,IPL,0.2,30.0,,,0.0,6,100.0,1.0
T Vijay,12,29,0,2,3,2,IPL,2.0,14.5,,,16.67,24,82.76,2.4
Tilak Varma,23,28,0,8,4,0,IPL,3.8,7.37,,,34.78,16,57.14,5.75
K Goel,67,94,0,19,9,2,IPL,11.2,8.39,,,28.36,48,51.06,6.09
CK Kapugedera,17,49,0,0,5,3,IPL,2.8,17.5,,,0.0,38,77.55,2.12
LPC Silva,6,21,0,0,0,3,IPL,1.0,21.0,,,0.0,18,85.71,2.0
PWA Mulder,6,16,0,1,2,1,IPL,1.0,16.0,,,16.67,14,87.5,2.0
SS Iyer,6,7,0,4,0,1,IPL,1.0,7.0,,,66.67,6,85.71,6.0
Gulbadin Naib,6,12,0,1,2,0,IPL,1.0,12.0,,,16.67,8,66.67,3.0
N Wadhera,17,22,0,3,1,1,IPL,2.8,7.86,,,17.65,10,45.45,8.5
Atharva Taide,1,4,0,0,1,0,IPL,0.2,20.0,,,0.0,4,100.0,1.0
Ishan Kishan,1,4,0,0,1,0,IPL,0.2,20.0,,,0.0,4,100.0,1.0
Aman Hakim Khan,6,13,0,1,1,1,IPL,1.0,13.0,,,16.67,10,76.92,3.0
Auqib Nabi,84,151,0,24,11,10,IPL,14.0,10.79,,,28.57,104,68.87,4.0
TH David,6,18,0,1,1,2,IPL,1.0,18.0,,,16.67,16,88.89,2.0
NA Saini,15,35,0,2,3,2,IPL,2.5,14.0,,,13.33,24,68.57,3.0
KR Mayers,46,59,0,14,8,0,IPL,7.7,7.66,,,30.43,32,54.24,5.75
R Goyal,24,34,0,6,1,2,IPL,4.0,8.5,,,25.0,16,47.06,8.0
Vivrant Sharma,21,37,0,5,1,3,IPL,3.5,10.57,,,23.81,22,59.46,5.25
JE Root,12,15,0,1,1,0,IPL,2.0,7.5,,,8.33,4,26.67,12.0
LRPL Taylor,13,24,0,0,0,2,IPL,2.2,10.91,,,0.0,12,50.0,6.5
SN Khan,2,6,0,0,1,0,IPL,0.3,20.0,,,0.0,4,66.67,2.0
S Midhun,13,29,0,3,2,2,IPL,2.2,13.18,,,23.08,20,68.97,3.25
S Joseph,30,51,0,9,4,2,IPL,5.0,10.2,,,30.0,28,54.9,5.0
Abdur Razzak,14,29,0,5,3,1,IPL,2.3,12.61,,,35.71,18,62.07,3.5
Arshad Khan (2),13,25,0,4,5,0,IPL,2.2,11.36,,,30.77,20,80.0,2.6
Mandeep Singh,12,26,0,1,1,2,IPL,2.0,13.0,,,8.33,16,61.54,4.0
R Ravindra,12,7,0,5,0,0,IPL,2.0,3.5,,,41.67,0,0.0,
SR Tendulkar,37,59,0,4,6,1,IPL,6.2,9.52,,,10.81,30,50.85,5.29
P Ray Barman,24,56,0,2,3,4,IPL,4.0,14.0,,,8.33,36,64.29,3.43
RA Shaikh,6,11,0,1,2,0,IPL,1.0,11.0,,,16.67,8,72.73,3.0
RS Gavaskar,6,8,0,2,1,0,IPL,1.0,8.0,,,33.33,4,50.0,6.0
Mashrafe Mortaza,28,59,0,6,4,4,IPL,4.7,12.55,,,21.43,40,67.8,3.5
RR Bose,12,24,0,5,5,0,IPL,2.0,12.0,,,41.67,20,83.33,2.4
CJ Dala,19,34,0,7,3,2,IPL,3.2,10.62,,,36.84,24,70.59,3.8
AS Raut,30,45,0,6,4,1,IPL,5.0,9.0,,,20.0,22,48.89,6.0
A Dananjaya,25,47,0,6,2,4,IPL,4.2,11.19,,,24.0,32,68.09,4.17
Naman Dhir,53,76,0,11,6,2,IPL,8.8,8.64,,,20.75,36,47.37,6.62
Sumit Kumar,22,38,0,4,3,2,IPL,3.7,10.27,,,18.18,24,63.16,4.4
SZ Mulani,33,57,0,7,2,4,IPL,5.5,10.36,,,21.21,32,56.14,5.5
H Sharma,30,62,0,2,6,2,IPL,5.0,12.4,,,6.67,36,58.06,3.75
I Malhotra,6,23,0,0,2,2,IPL,1.0,23.0,,,0.0,20,86.96,1.5
M Manhas,42,42,0,15,2,1,IPL,7.0,6.0,,,35.71,14,33.33,14.0
NL McCullum,30,35,0,10,1,2,IPL,5.0,7.0,,,33.33,16,45.71,10.0
AUK Pathan,41,63,0,9,5,2,IPL,6.8,9.26,,,21.95,32,50.79,5.86
C Ganapathy,6,13,0,1,1,1,IPL,1.0,13.0,,,16.67,10,76.92,3.0
AC Voges,56,76,0,15,8,2,IPL,9.3,8.17,,,26.79,44,57.89,5.6
KAJ Roach,52,80,0,20,10,3,IPL,8.7,9.2,,,38.46,58,72.5,4.0
MB Parmar,19,33,0,4,6,0,IPL,3.2,10.31,,,21.05,24,72.73,3.17
FY Fazal,12,20,0,1,1,1,IPL,2.0,10.0,,,8.33,10,50.0,6.0
S Sriram,18,49,0,2,4,4,IPL,3.0,16.33,,,11.11,40,81.63,2.25
NJ Rimmington,18,20,0,9,3,0,IPL,3.0,6.67,,,50.0,12,60.0,6.0
Y Gnaneswara Rao,6,7,0,3,1,0,IPL,1.0,7.0,,,50.0,4,57.14,6.0
P Prasanth,6,18,0,3,0,3,IPL,1.0,18.0,,,50.0,18,100.0,2.0
AA Kazi,13,21,0,2,1,1,IPL,2.2,9.55,,,15.38,10,47.62,6.5
B Chipli,6,20,0,1,1,2,IPL,1.0,20.0,,,16.67,16,80.0,2.0
MW Short,45,64,0,16,5,4,IPL,7.5,8.53,,,35.56,44,68.75,5.0
Mohit Rathee,12,29,0,3,3,2,IPL,2.0,14.5,,,25.0,24,82.76,2.4
R Sanjay Yadav,14,23,0,6,3,1,IPL,2.3,10.0,,,42.86,18,78.26,3.5
Gurnoor Brar,21,42,0,7,4,3,IPL,3.5,12.0,,,33.33,34,80.95,3.0
RW Price,18,33,0,1,2,2,IPL,3.0,11.0,,,5.56,20,60.61,4.5
S Rana,16,18,0,5,2,0,IPL,2.7,6.67,,,31.25,8,44.44,8.0
RA Tripathi,6,12,0,0,2,0,IPL,1.0,12.0,,,0.0,8,66.67,3.0
DJ Harris,18,26,0,4,2,1,IPL,3.0,8.67,,,22.22,14,53.85,6.0
F du Plessis,6,16,0,0,0,2,IPL,1.0,16.0,,,0.0,12,75.0,3.0
RR Bhatkal,12,35,0,0,2,3,IPL,2.0,17.5,,,0.0,26,74.29,2.4
BJ Rohrer,7,12,0,1,2,0,IPL,1.2,10.0,,,14.29,8,66.67,3.5
MG Neser,25,62,0,5,6,4,IPL,4.2,14.76,,,20.0,48,77.42,2.5
