bowler,balls,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,format,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary
S Ladda,141,225,5,48,12,17,IPL,23.5,9.57,45.0,28.2,34.04,150,66.67,4.86
Shoaib Ahmed,103,154,5,33,14,7,IPL,17.2,8.95,30.8,20.6,32.04,98,63.64,4.9
FH Edwards,150,160,5,70,20,2,IPL,25.0,6.4,32.0,30.0,46.67,92,57.5,6.82
TM Dilshan,275,368,5,79,27,15,IPL,45.8,8.03,73.6,55.0,28.73,198,53.8,6.55
SB Wagh,108,147,5,45,21,2,IPL,18.0,8.17,29.4,21.6,41.67,96,65.31,4.7
PD Collingwood,90,101,5,24,4,3,IPL,15.0,6.73,20.2,18.0,26.67,34,33.66,12.86
RJW Topley,125,222,5,44,23,13,IPL,20.8,10.67,44.4,25.0,35.2,170,76.58,3.47
S Narwal,113,203,5,37,17,13,IPL,18.8,10.8,40.6,22.6,32.74,146,71.92,3.77
KMDN Kulasekara,107,122,5,45,16,0,IPL,17.8,6.85,24.4,21.4,42.06,64,52.46,6.69
M de Lange,116,171,5,39,21,4,IPL,19.3,8.86,34.2,23.2,33.62,108,63.16,4.64
AP Dole,73,114,5,20,11,4,IPL,12.2,9.34,22.8,14.6,27.4,68,59.65,4.87
RV Gomez,97,130,5,37,10,7,IPL,16.2,8.02,26.0,19.4,38.14,82,63.08,5.71
M Tiwari,75,105,4,19,9,3,IPL,12.5,8.4,26.25,18.75,25.33,54,51.43,6.25
V Kohli,264,371,4,52,25,11,IPL,44.0,8.43,92.75,66.0,19.7,166,44.74,7.33
A Badoni,41,64,4,8,2,4,IPL,6.8,9.41,16.0,10.25,19.51,32,50.0,6.83
SB Bangar,153,221,4,55,24,7,IPL,25.5,8.67,55.25,38.25,35.95,138,62.44,4.94
Arjun Tendulkar,107,153,4,36,14,6,IPL,17.8,8.6,38.25,26.75,33.64,92,60.13,5.35
Parvez Rasool,200,273,4,60,22,11,IPL,33.3,8.2,68.25,50.0,30.0,154,56.41,6.06
MJ Henry,166,314,4,40,26,18,IPL,27.7,11.34,78.5,41.5,24.1,212,67.52,3.77
S Dhawan,49,72,4,17,7,3,IPL,8.2,8.78,18.0,12.25,34.69,46,63.89,4.9
T Stubbs,37,69,4,12,4,6,IPL,6.2,11.13,17.25,9.25,32.43,52,75.36,3.7
D du Preez,43,56,4,18,6,1,IPL,7.2,7.78,14.0,10.75,41.86,30,53.57,6.14
Y Nagar,72,125,4,16,11,6,IPL,12.0,10.42,31.25,18.0,22.22,80,64.0,4.24
LE Plunkett,154,228,4,39,15,12,IPL,25.7,8.87,57.0,38.5,25.32,132,57.89,5.7
B Muzarabani,44,79,4,12,9,3,IPL,7.3,10.82,19.75,11.0,27.27,54,68.35,3.67
DP Vijaykumar,159,205,4,63,23,5,IPL,26.5,7.74,51.25,39.75,39.62,122,59.51,5.68
WA Mota,75,98,4,24,4,5,IPL,12.5,7.84,24.5,18.75,32.0,46,46.94,8.33
Shivam Sharma,114,165,4,37,9,10,IPL,19.0,8.68,41.25,28.5,32.46,96,58.18,6.0
DJ Muthuswami,84,108,4,44,14,3,IPL,14.0,7.71,27.0,21.0,52.38,74,68.52,4.94
Gurjapneet Singh,159,233,4,46,15,13,IPL,26.5,8.79,58.25,39.75,28.93,138,59.23,5.68
JW Hastings,61,66,3,31,11,0,IPL,10.2,6.47,22.0,20.33,50.82,44,66.67,5.55
